,no_clust,algorithm,predictions
0,2.0,spectral warp,"[0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 0 1
 1 0 1 0 0 0 1]"
1,2.0,aff prop,"[0 1 4 0 0 0 2 3 1 0 4 4 4 1 4 4 0 0 3 0 4 1 4 2 2 1 0 5 4 0 0 2 3 6 4 3 2
 5 3 2 4 4 3 6]"
2,2.0,pca,"[1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0 0
 0 1 0 1 1 1 0]"
3,2.0,spectral overlap,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1
 0 0 0 0 0 0 0]"
4,2.0,km_choice,"[1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 1 1 0 0 1 0 1 1 1
 1 0 0 1 0 1 0]"
5,2.0,km_ent,"[1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1 0
 0 1 0 1 1 1 0]"
6,2.0,km_con,"[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0
 0 1 1 0 1 0 1]"
7,2.0,spect_cos_cat,"[1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0 1 1 1 1 0
 1 1 0 0 1 0 1]"
8,2.0,aff_cos_cat,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
9,2.0,spect_cos_ent,"[0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0
 0 0 1 0 0 0 1]"
10,2.0,aff_cos_ent,"[ 4  4  1  6  3  4  4  7  0  6  1  1  1  2  1  6  1  6  1  4  1  3  4  6  1
  3  6  5  4  7  6  7  1  6  6  7  1  8  1  9  1  4  4 10]"
11,2.0,spect_rbf,"[1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 0 1 1 1 0 1 0 1 0 0
 0 1 0 1 1 1 0]"
12,2.0,spect_esk_sim,"[1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 1
 1 0 0 0 0 1 0]"
13,2.0,aff_esk_sim,"[0 0 1 4 2 7 1 7 0 2 3 4 0 4 0 5 4 6 4 7 5 7 2 7 3 1 7 3 4 0 4 7 6 4 5 1 6
 1 4 7 5 7 6 4]"
14,2.0,spect_lin_sim,"[1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 1
 1 0 0 0 0 1 0]"
15,2.0,aff_lin_sim,"[0 0 1 6 2 0 1 7 0 2 3 4 6 1 0 4 6 3 6 7 4 7 2 7 3 2 7 3 2 0 7 7 5 7 4 1 5
 1 6 7 4 7 5 6]"
16,2.0,comp_hr_esk_dis,"[0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1 1 1 0 1 0 0 0
 0 1 1 0 0 0 1]"
17,2.0,avg_hr_esk_dis,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
18,2.0,comp_hr_lin_din,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0
 0 1 1 1 0 0 0]"
19,2.0,avg_hr_lin_dis,"[1 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1
 1 0 0 0 0 1 0]"
20,2.0,spect_edr,"[0 1 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 1 0 0 0 1 1 1 0 1 1
 1 1 1 0 0 1 1]"
21,2.0,aff_edr,"[ 0 21  3  0  1  2 14 11 21  3  4  5  6 14  7  8  9 10 21 11 12 11 13 14 14
 15 15 16 17 18 19 14 21 16 20 21 14 16 21 14 22 23 21 14]"
22,3.0,spectral warp,"[2 1 2 2 1 2 0 1 1 2 2 2 2 1 2 2 2 2 2 1 2 1 2 0 0 1 2 0 2 2 2 0 2 0 2 2 0
 0 0 0 2 2 1 1]"
23,3.0,aff prop,"[0 1 4 0 0 0 2 3 1 0 4 4 4 1 4 4 0 0 3 0 4 1 4 2 2 1 0 5 4 0 0 2 3 6 4 3 2
 5 3 2 4 4 3 6]"
24,3.0,pca,"[1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0 0
 0 1 0 1 1 1 0]"
25,3.0,spectral overlap,"[0 0 0 0 1 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 1 1 2 2 0 0 1 1 0 0 1
 1 1 2 0 0 0 0]"
26,3.0,km_choice,"[2 2 2 2 2 1 2 1 2 0 2 0 0 2 2 2 2 2 2 1 0 1 2 1 1 2 1 1 2 2 1 1 2 1 2 2 2
 2 1 1 2 1 2 1]"
27,3.0,km_ent,"[2 0 2 2 0 2 0 0 0 2 2 2 2 0 2 2 2 2 2 2 2 0 2 2 0 0 2 0 2 2 2 0 2 1 2 0 0
 0 2 0 2 2 2 1]"
28,3.0,km_con,"[0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 2 0 2 0 2 2 0 2 1 0 0 2 2 0 1 0 0 0
 0 2 2 0 2 0 1]"
29,3.0,spect_cos_cat,"[0 0 0 1 2 0 0 2 0 0 0 0 0 0 2 0 1 1 1 2 1 2 1 2 2 1 2 0 1 0 2 2 1 1 1 0 2
 1 1 2 2 0 1 0]"
30,3.0,aff_cos_cat,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
31,3.0,spect_cos_ent,"[1 2 1 1 2 0 0 0 2 1 1 1 1 2 1 1 1 1 1 1 1 2 1 0 1 2 1 0 1 0 1 0 1 0 1 0 1
 1 1 0 1 1 1 2]"
32,3.0,aff_cos_ent,"[ 4  4  1  6  3  4  4  7  0  6  1  1  1  2  1  6  1  6  1  4  1  3  4  6  1
  3  6  5  4  7  6  7  1  6  6  7  1  8  1  9  1  4  4 10]"
33,3.0,spect_rbf,"[1 2 1 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 2 0 1 2 1 0 1 0 1 2 1 0 2
 2 1 0 1 1 1 2]"
34,3.0,spect_esk_sim,"[0 0 0 1 2 2 0 1 0 2 2 2 2 0 2 2 1 2 1 1 2 1 2 1 2 0 1 2 0 2 1 1 0 1 2 0 0
 0 1 1 2 1 0 1]"
