,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral warp,[1 1 0 0 0 0 0 1 0 0 2 0 0 0 0],0.17193,0.00361,0.192,-0.02083,0.23557,0.1565,0.18806
1,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff prop,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],0.07813,-0.0,0.15062,0.0,0.31899,0.07112,0.1163
2,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,pca,[0 0 1 1 1 1 1 0 1 1 0 1 1 1 1],0.02198,-0.06422,0.02753,-0.05089,0.0379,0.02,0.02619
3,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral overlap,[1 0 1 2 1 0 0 0 2 0 0 2 0 0 2],0.30172,0.1335,0.28649,0.10592,0.29885,0.27464,0.28623
4,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_choice,[0 1 1 1 1 0 0 1 0 0 2 1 0 0 1],0.20663,0.05055,0.20874,0.08333,0.23168,0.18808,0.20761
5,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_ent,[2 2 0 0 0 2 0 2 0 0 1 0 0 2 2],0.082,-0.083,0.08328,-0.0944,0.09293,0.07464,0.08279
6,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_con,[0 2 2 2 2 0 0 2 0 0 1 2 0 0 2],0.20663,0.05055,0.20874,0.08333,0.23168,0.18808,0.20761
7,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_cos_cat,[0 0 2 2 2 0 2 0 1 2 1 2 2 0 0],0.06322,-0.11933,0.06059,-0.11215,0.0638,0.05754,0.06051
8,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_cos_cat,[3 3 3 3 3 3 3 3 0 1 2 3 3 3 3],0.23657,0.00234,0.26597,0.0049,0.32851,0.21533,0.26014
9,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_cos_ent,[0 2 1 1 1 1 1 2 1 1 1 1 1 1 1],0.14415,-0.02622,0.17358,-0.00487,0.22964,0.13121,0.167
10,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_cos_ent,[0 1 3 3 3 3 3 2 3 3 4 3 3 3 3],0.29924,-0.01735,0.29297,-0.02667,0.31512,0.27238,0.29219
11,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_rbf,[0 0 1 1 1 0 1 0 1 1 2 1 1 0 0],0.082,-0.083,0.08328,-0.0944,0.09293,0.07464,0.08279
