,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral warp,[1 1 0 0 1 0 1 0 2 1 0 0 0 1 1],0.09155,-0.07193,0.09249,-0.08333,0.10265,0.08334,0.09199
1,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff prop,[1 1 0 0 1 0 1 0 1 1 0 0 0 1 1],0.01791,-0.06036,0.02056,-0.07843,0.02592,0.0163,0.02002
2,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,pca,[0 0 1 1 0 1 0 1 0 0 1 1 1 0 0],0.01791,-0.06036,0.02056,-0.07843,0.02592,0.0163,0.02002
3,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spectral overlap,[1 0 1 1 1 2 1 0 0 1 0 1 0 0 0],0.20663,0.05055,0.20874,0.08333,0.23168,0.18808,0.20761
4,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_choice,[0 1 1 1 0 1 0 0 2 0 0 1 0 0 1],0.11688,-0.04584,0.11872,-0.0531,0.13247,0.10639,0.11801
5,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_ent,[0 0 1 1 0 1 0 1 2 0 1 1 1 0 0],0.09155,-0.07193,0.09249,-0.08333,0.10265,0.08334,0.09199
6,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,km_con,[0 1 1 1 0 1 0 2 2 0 2 1 2 0 1],0.15757,-0.01945,0.14431,-0.0396,0.1452,0.14343,0.14431
7,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_cos_cat,[1 1 0 0 1 0 1 0 2 1 0 0 0 0 1],0.13953,-0.02171,0.14172,-0.0118,0.15814,0.12701,0.14088
8,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_cos_cat,[0 1 3 3 0 3 1 3 2 1 3 3 3 4 1],0.31782,-0.0191,0.26216,-0.04762,0.23756,0.2893,0.26089
9,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_cos_ent,[0 0 2 1 0 2 0 1 0 0 1 2 1 0 0],0.02446,-0.16798,0.02323,-0.11215,0.02423,0.02226,0.0232
10,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_cos_ent,[0 1 1 1 0 1 1 0 0 1 1 1 0 0 1],0.0,-0.07938,0.0,-0.09917,0.0,0.0,0.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_rbf,[1 1 0 0 1 0 1 0 2 1 0 0 0 1 1],0.09155,-0.07193,0.09249,-0.08333,0.10265,0.08334,0.09199
12,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_esk_sim,[1 0 0 0 1 0 1 1 2 1 1 0 1 1 0],0.11688,-0.04584,0.11872,-0.0531,0.13247,0.10639,0.11801
13,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_esk_sim,[1 0 0 0 1 0 1 1 1 1 1 0 1 1 0],0.05754,-0.02285,0.06691,-0.02204,0.08549,0.05237,0.06495
14,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_lin_sim,[0 1 1 1 0 1 0 0 2 0 0 1 0 0 1],0.11688,-0.04584,0.11872,-0.0531,0.13247,0.10639,0.11801
15,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_lin_sim,[1 0 0 0 1 0 1 1 1 1 1 0 1 1 0],0.05754,-0.02285,0.06691,-0.02204,0.08549,0.05237,0.06495
16,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,comp_hr_esk_dis,[0 1 1 1 0 1 0 0 2 0 0 1 0 0 1],0.11688,-0.04584,0.11872,-0.0531,0.13247,0.10639,0.11801
17,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,avg_hr_esk_dis,[0 1 1 1 0 1 0 0 2 0 0 1 0 0 1],0.11688,-0.04584,0.11872,-0.0531,0.13247,0.10639,0.11801
18,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,comp_hr_lin_din,[0 1 1 1 0 1 0 0 2 0 0 1 0 0 1],0.11688,-0.04584,0.11872,-0.0531,0.13247,0.10639,0.11801
19,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,avg_hr_lin_dis,[0 1 1 1 0 1 0 0 2 0 0 1 0 0 1],0.11688,-0.04584,0.11872,-0.0531,0.13247,0.10639,0.11801
20,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,spect_edr,[1 1 0 0 1 0 1 0 2 1 0 0 0 1 1],0.09155,-0.07193,0.09249,-0.08333,0.10265,0.08334,0.09199
21,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",,aff_edr,[0 3 3 2 0 2 2 3 1 0 2 2 3 3 0],0.11807,-0.13762,0.10014,-0.11806,0.09331,0.10747,0.09989
22,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,spectral warp,[1 2 2 0 1 2 0 0 1 1 2 0 0 2 1],0.04369,-0.14203,0.03977,-0.12,0.03977,0.03977,0.03977
23,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,aff prop,[1 1 1 0 1 1 0 0 1 1 1 0 0 1 1],0.02104,-0.06146,0.02516,-0.064,0.03305,0.01915,0.02425
24,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,pca,[0 1 1 0 0 1 0 0 0 0 1 0 0 1 1],0.05754,-0.02285,0.06691,-0.02204,0.08549,0.05237,0.06495
25,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,spectral overlap,[0 0 0 2 0 1 0 0 0 0 0 0 0 0 0],0.15149,-0.00511,0.20752,-0.00901,0.3123,0.13789,0.19131
26,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,km_choice,[1 2 2 1 0 1 0 0 0 0 1 0 0 0 0],0.24238,0.06981,0.24009,0.0708,0.26129,0.22062,0.23924
27,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,km_ent,[2 0 0 1 2 0 1 1 2 2 2 1 1 0 2],0.03027,-0.15736,0.02772,-0.13201,0.02789,0.02755,0.02772
28,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,km_con,[1 2 2 1 0 1 0 0 0 0 1 0 0 2 0],0.17442,-0.00493,0.16561,0.01869,0.17276,0.15876,0.16546
29,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,spect_cos_cat,[0 2 2 0 0 2 0 0 0 0 1 0 0 0 0],0.17193,0.00361,0.192,-0.02083,0.23557,0.1565,0.18806
30,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,aff_cos_cat,[2 0 1 2 2 0 2 2 2 2 3 2 2 2 2],0.20682,-0.04701,0.21312,-0.03704,0.24128,0.18825,0.21149
31,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,spect_cos_ent,[1 0 0 2 1 0 2 2 1 1 0 2 2 0 1],0.04369,-0.14203,0.03977,-0.12,0.03977,0.03977,0.03977
32,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",,aff_cos_ent,[2 2 2 0 2 2 0 0 2 2 2 0 1 2 2],0.09542,-0.07501,0.10157,-0.06061,0.11878,0.08686,0.10034
