,no_clust,algorithm,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S
27,2.0,spectral bad cosine,0.0673863217001,0.080821602601,0.128347485205,-0.0804079808829,0.152274949833,0.108497504471,0.126353313485,0.0135121226208,0.0232613739025,0.0189648525002,0.00311526015579,0.014191566897,0.0217556255851,0.0199144666567
28,2.0,affinity bad cosine,0.114007849843,-0.0359005573288,0.104922785791,-0.0455122393472,0.0599731517289,0.183561988337,0.0904082341071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.0,spectral bad rbf,0.0266038361583,0.0147920496775,0.0406039857359,0.0071961102107,0.0384897482309,0.0428343580672,0.0405460012458,0.0,2.66251290966e-09,0.0,0.0,0.0,0.0,0.0
30,2.0,affinity bad rbf,0.205127267346,0.0587602881746,0.206980550556,0.0448658933284,0.129714248191,0.330271723467,0.186270673229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2.0,spectral bad edr,3.33066907388e-16,-0.0245627629996,5.07624708521e-16,-0.028512182478,4.80513975572e-16,5.36265036608e-16,5.06861061478e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2.0,affinity bad edr,0.0152311207519,-0.0446564564641,0.016260618359,-0.0482631417153,0.0107818740539,0.0245233535557,0.0149783886024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2.0,kmeans badset,0.0266038361583,0.0147920485893,0.0406039857359,0.0071961102107,0.0384897482309,0.0428343580672,0.0405460012458,0.0,2.77708148765e-09,0.0,0.0,0.0,0.0,0.0
34,2.0,complete badset,0.0178804262493,0.00183882919616,0.0274067159797,-0.0142820046741,0.0260908442573,0.0287889526833,0.0273735736159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2.0,average badset,0.0119369615269,-0.0132737821514,0.0406177099429,-0.0335570469799,0.0858398747853,0.0192194870407,0.03140697473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2.0,ward badset,0.0178804262493,0.00183882919616,0.0274067159797,-0.0142820046741,0.0260908442573,0.0287889526833,0.0273735736159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2.0,spectral eblock warp,0.0730443668697,0.0927120155284,0.118772472443,-0.0256646401313,0.119963660332,0.117607421226,0.118759407322,0.0331561704493,0.0547738418888,0.0554545039932,0.00636959570888,0.0575713004218,0.0533841536502,0.0554312866646
38,2.0,affinity eblock warp,0.136092169028,-0.00105543938593,0.132247804652,-0.0553352449515,0.0798170750277,0.219119553421,0.11701130053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2.0,PCA eblock euclid,0.147392523103,0.215850775065,0.237314050253,0.0197628458498,0.237314050253,0.237314050253,0.237314050253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2.0,spectral eblock eucsim,0.0351231266992,0.0279726428946,0.0542270374354,0.0681241460082,0.0519984727722,0.0565511145279,0.0541793232412,0.0,1.4098849822e-09,0.0,0.0,0.0,0.0,0.0
41,2.0,affinity eblock eucsim,0.147829925411,-0.00788076303562,0.146443864721,-0.0824850391758,0.0901014971049,0.238018303842,0.130719361969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2.0,spectral eblock cosine,0.0133113837627,-0.00748099399454,0.027496212643,-0.0305636909683,0.0354106958821,0.0214324195604,0.0266055676286,0.0209686517423,0.0332008013296,0.0440038536502,0.0331230077315,0.0574753797804,0.0337612490006,0.0424919341978
43,2.0,affinity eblock cosine,0.120707722907,-0.0319128117993,0.130534243813,-0.115235492277,0.0876729984389,0.194349333446,0.120835741581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2.0,spectral eblock rbf,0.0682092723818,0.0819411407886,0.107893676164,-0.00373599003736,0.105998706683,0.109822522561,0.107876740364,0.0,2.56606716511e-09,0.0,0.0,0.0,0.0,0.0
45,2.0,affinity eblock rbf,0.147829925411,-0.00788080359349,0.146443864721,-0.0824850391758,0.0901014971049,0.238018303842,0.130719361969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2.0,spectral eblock edr,0.0153414529483,-0.00305766753617,0.0252551377798,0.0508317317251,0.025821709662,0.0247009974406,0.0252489235376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2.0,affinity eblock edr,0.0460323815462,-0.0449562543901,0.044730037569,-0.0466358999271,0.0269952331914,0.0741159095289,0.0395757818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.0,kmeans eblockset,0.0929618792626,0.124530250798,0.163655914493,-0.0656437122262,0.178978547142,0.149676249667,0.162987545494,0.005700686435,0.00968227689766,0.00776343026213,0.00505941322331,0.0059266121422,0.009178572689,0.00797165555444
49,2.0,complete eblockset,0.0797351400933,0.102065420895,0.145643194743,-0.0773825685582,0.165227614889,0.128380114844,0.144491701183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2.0,average eblockset,0.0119369615269,-0.0132737821514,0.0406177099429,-0.0335570469799,0.0858398747853,0.0192194870407,0.03140697473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2.0,ward eblockset,0.0952960097043,0.128494632545,0.166834629743,-0.0635721493441,0.181405182246,0.153434391106,0.16625151802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2.0,spectral b_cum warp,0.00772895555782,-0.0156632604256,0.0127234257514,-0.0477831532905,0.0130088621383,0.0124442523206,0.0127202950439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2.0,affinity b_cum warp,0.103948693335,0.00572323022106,0.10263167061,0.0294867127776,0.0629355111564,0.167365921381,0.091473680352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2.0,PCA b_cum euclid,0.012516712156,-0.0094292002597,0.022862867538,-0.0605484659245,0.0259372027613,0.0201529331005,0.0226821076696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.0,spectral b_cum eucsim,0.010875636606,-0.0088346315681,0.0167910322569,-0.0286941245364,0.0161009724101,0.017510666876,0.0167762578822,0.0,1.46327239255e-09,0.0,0.0,0.0,0.0,0.0
56,2.0,affinity b_cum eucsim,0.0742557948429,-0.0252699688097,0.0703218368562,-0.0404442834722,0.0413620507514,0.119557919615,0.0614611191834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2.0,spectral b_cum cosine,0.010875636606,-0.00883463099761,0.0167910322569,-0.0286941245364,0.0161009724101,0.017510666876,0.0167762578822,0.0,1.34111130045e-09,0.0,0.0,0.0,0.0,0.0
58,2.0,affinity b_cum cosine,0.0600674612579,-0.0234643015659,0.0611337141806,-0.0326398633396,0.0386433073516,0.0967135389194,0.0552218984482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2.0,spectral b_cum rbf,0.00105891685532,-0.0236904115611,0.00162884324045,-0.0266932870849,0.00155621829001,0.00170494298169,0.00162710782929,0.000342962043295,0.00103347718046,0.000517632087586,0.00515706527785,0.000484976941991,0.000552197016945,0.000516678513684
60,2.0,affinity b_cum rbf,0.0728722653621,-0.0290303379199,0.0711288208343,-0.0553352449515,0.0431202181536,0.117330323684,0.0630637839591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2.0,spectral b_cum edr,0.0243543417789,0.0115207051939,0.0373297883785,0.0340171384056,0.0355374826908,0.0392124876291,0.0372846462525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2.0,affinity b_cum edr,0.138814873227,-0.0216694475313,0.119545437961,-0.0324082363474,0.0639413815743,0.223503330478,0.09943555152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2.0,kmeans badcumset,0.000270167428582,-0.02510353683,0.000419309704037,-0.0261232695113,0.00040421626962,0.000434991717175,0.000419015659751,0.000358589941326,0.000517241684196,0.000554316518154,0.00423444627056,0.000532298262643,0.000577359214461,0.000553836945411
64,2.0,complete badcumset,0.00311696217943,-0.0237285455242,0.00527421607922,-0.0427122263748,0.00554289058626,0.00501856473935,0.00526771252497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2.0,average badcumset,0.012516712156,-0.0094292002597,0.022862867538,-0.0605484659245,0.0259372027613,0.0201529331005,0.0226821076696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2.0,ward badcumset,0.012516712156,-0.0094292002597,0.022862867538,-0.0605484659245,0.0259372027613,0.0201529331005,0.0226821076696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2.0,levenstein,0.00130420988336,-0.0229512488696,0.00199906363264,-0.030381719034,0.00190308309607,0.00209988487398,0.00199664620714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
