,no_clust,algorithm,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S
27,2.0,spectral bad cosine,0.138077348146,0.152908223973,0.276565819414,0.2,0.366476335826,0.208713755816,0.265959562167,0.0,2.09562834453e-09,0.0,0.0,0.0,0.0,0.0
28,2.0,affinity bad cosine,0.153168482124,0.0326919756015,0.207671899372,0.183333333333,0.186276223952,0.231525080732,0.206450373924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.0,spectral bad rbf,0.0813833515984,0.0650393809446,0.127340142335,0.13,0.132786990506,0.12301673809,0.126785060957,0.0511112235409,0.0820546698525,0.0694806046107,0.0586395471608,0.0608576210015,0.0772582583083,0.0698977197145
30,2.0,affinity bad rbf,0.153168482124,0.0326919756015,0.207671899372,0.183333333333,0.186276223952,0.231525080732,0.206450373924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2.0,spectral bad edr,0.0198428566637,-0.0256498904309,0.0299938925248,0.0,0.0299938925248,0.0299938925248,0.0299938925248,0.0,3.13271413069e-09,0.0,0.0,0.0,0.0,0.0
32,2.0,affinity bad edr,0.0410802362631,-0.0486826732181,0.0526139767744,0.0166666666667,0.0445800641513,0.0620957058882,0.0518998934996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2.0,kmeans badset,0.147100544656,0.16798568255,0.288602151015,0.216666666667,0.376251909584,0.222352960641,0.278387852003,0.0364134901013,0.0599173477721,0.0518038118208,0.0630603535285,0.0417105772622,0.0550415863533,0.054843223907
34,2.0,complete badset,0.138077348146,0.152908219888,0.276565819414,0.2,0.366476335826,0.208713755816,0.265959562167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2.0,average badset,0.0648312053816,0.034597374398,0.164848085642,0.0833333333333,0.277303329555,0.0979969890136,0.144816777366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2.0,ward badset,0.138077348146,0.152908224994,0.276565819414,0.2,0.366476335826,0.208713755816,0.265959562167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
