,no_clust,algorithm,predictions
0,2.0,spectral warp,"[0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0]"
1,2.0,aff prop,"[11  1 11  2  1 11  4  5  0 11  3 12 12  0 12 12  3 11  8 11 12  1  2  5  2
 11 12  2  3  3  8 12 12  4  3  3  3 11 12  4  5 12 11  5  5  8 12  5  8  8
  8  8  6  2  3  8 11  7 12  6  8  2 12  9 10  3  4  3  3 11 12 12  2 11 12
 12 12  3 12  3  2  3  5  2 12  5  4 13  2  0  2  2  8  2 11  3]"
2,2.0,pca,"[1 0 1 1 0 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 0 1 1]"
3,2.0,spectral overlap,"[1 1 1 0 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0
 0 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 1 1 0 0 1 1 1 0
 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0]"
4,2.0,km_choice,"[0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0]"
5,2.0,km_ent,"[0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0]"
6,2.0,km_con,"[1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1
 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1]"
7,2.0,spect_cos_cat,"[1 1 1 0 0 0 1 0 0 0 0 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 1
 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 0 1
 1 1 1 0 1 0 1 0 1 1 1 1 0 1 1 0 1 1 0 0 1 0]"
8,2.0,aff_cos_cat,"[0 1 2 0 0 0 2 0 0 0 0 2 0 2 2 0 0 0 2 0 3 1 0 0 3 2 0 2 2 3 0 0 0 0 1 2 0
 2 0 0 0 0 0 1 3 0 0 3 3 2 1 3 0 0 0 1 0 2 0 0 0 0 0 0 0 3 1 1 0 0 1 3 2 0
 3 3 1 3 1 0 0 0 0 0 2 3 0 0 0 0 0 1 3 1 0 0]"
9,2.0,spect_cos_ent,"[0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0]"
10,2.0,aff_cos_ent,"[ 8 14  7  4  0  5  5 11  1  3  7  7  7  2  7  3  7  3  7 14  7 14 16 15  4
  5  7 14  8  3  7 16  7  6  7 16  4  7  7  8  4  7  7  9  9  7  7 16  7  9
  8  7  5  9  7  4  3  8  7  7  7  4  3 10  5  7  7  7  3 16  7  7  5  4  7
  7  7  7  3  7 11 15  4  3  3 11  8 12 16 13 14 15  3 13  3 16]"
11,2.0,spect_rbf,"[0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 0]"
12,2.0,spect_esk_sim,"[1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 1 1 1 1 1 0 1 1 1
 1 1 0 1 1 1 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0 0 1 1
 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0]"
13,2.0,aff_esk_sim,"[13  9 10  0  1  7 10  5  9  6 13  5  2  7  2  3  6  8  7  5 13  4  1  4  1
  7  0 10  9 12 10 12  9  5 14  9 12  9  3  5 10  3 10  6  7  6  4 10 10  7
 12  0  5  5 13 13  6  7  3 10  9 11  8  9  7  7 10 10  8  0  6  0  2 11  8
 11  8 10 14 13 12 14  4 13 14 12 13  5 12  9  5 14  5  9  4  1]"
14,2.0,spect_lin_sim,"[1 1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1
 1 1 0 1 1 1 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 1 1 1 1 0 0 1 1
 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0]"
15,2.0,aff_lin_sim,"[ 0  0 10  7  1  9 10  6  0  6  2 13  3  9  3  4  5  7  9  6 14  7  1  5  1
  9 11 11  0 13 10 13  8  6 11 14 13  3  4  6  1  4  8  7  9  5 11 10 10  9
  2  7  6  6  2 14  8  9  4 10  0 12 15 14  9  9 10 11  5  5  0  1  3 12  4
 12 12 10 15 14 13 15 13  2 15 13 14  6  5  2  6 15  6 15 15  1]"
16,2.0,comp_hr_esk_dis,"[1 1 1 1 0 0 1 0 1 1 1 0 1 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0 1 1 0
 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 0 0 1 1 1 1 1
 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 0]"
17,2.0,avg_hr_esk_dis,"[0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 0 0
 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 1 0 1 1]"
