,no_clust,algorithm,predictions
73,5.0,spect_cos_cat,[1 0 2 4 3 2 2 3 3 0 1 2 2 1]
74,5.0,aff_cos_cat,[3 2 0 3 2 1 2 2 2 2 3 2 3 3]
75,5.0,spect_cos_ent,[4 2 3 1 4 1 0 0 0 2 4 0 3 3]
76,5.0,aff_cos_ent,[1 0 1 2 1 2 1 1 1 3 1 1 1 1]
77,5.0,spect_rbf,[0 4 2 1 0 1 3 3 3 4 0 3 2 2]
78,5.0,spect_esk_sim,[1 4 1 3 0 3 2 0 1 4 2 3 2 0]
79,5.0,aff_esk_sim,[0 1 0 0 2 2 3 1 0 1 3 2 3 3]
80,5.0,spect_lin_sim,[2 4 2 0 1 0 3 1 2 4 3 0 3 1]
81,5.0,aff_lin_sim,[0 1 0 0 2 3 3 1 0 1 3 1 3 3]
82,5.0,comp_hr_esk_dis,[0 1 0 0 1 2 1 1 4 1 3 2 3 3]
83,5.0,avg_hr_esk_dis,[3 0 4 3 0 1 0 0 2 0 0 1 0 0]
84,5.0,comp_hr_lin_din,[1 4 1 1 0 3 4 0 0 4 2 3 2 2]
85,5.0,avg_hr_lin_dis,[0 4 0 0 1 0 2 1 3 4 2 0 2 2]
86,5.0,spect_edr,[1 1 4 2 0 4 2 4 0 3 2 1 2 4]
87,5.0,aff_edr,[1 1 0 1 0 0 1 0 0 0 1 1 1 0]
88,6.0,spectral warp,[1 3 0 5 4 0 1 0 2 3 3 1 2 0]
89,6.0,aff prop,[3 0 1 3 1 1 3 1 1 2 3 3 3 1]
90,6.0,pca,[1 0 1 0 1 0 1 1 1 0 1 1 1 1]
91,6.0,spectral overlap,[1 3 0 4 2 3 0 1 2 4 2 5 1 5]
92,6.0,km_choice,[2 3 1 2 5 4 0 5 5 3 2 0 2 2]
93,6.0,km_ent,[4 3 0 1 0 5 0 0 0 2 4 4 0 0]
94,6.0,km_con,[2 5 4 2 1 3 0 1 1 5 2 0 2 2]
95,6.0,spect_cos_cat,[1 3 2 4 5 1 1 5 5 3 0 1 1 0]
96,6.0,aff_cos_cat,[3 2 0 3 2 1 2 2 2 2 3 2 3 3]
97,6.0,spect_cos_ent,[3 1 5 0 3 0 4 4 4 1 3 4 2 2]
98,6.0,aff_cos_ent,[1 0 1 2 1 2 1 1 1 3 1 1 1 1]
99,6.0,spect_rbf,[4 3 1 2 1 2 0 1 0 3 4 0 5 1]
100,6.0,spect_esk_sim,[5 2 4 5 1 1 3 1 0 2 3 5 3 4]
101,6.0,aff_esk_sim,[0 1 0 0 2 2 3 1 0 1 3 2 3 3]
102,6.0,spect_lin_sim,[0 4 1 2 5 2 5 5 0 4 3 2 3 1]
103,6.0,aff_lin_sim,[0 1 0 0 2 3 3 1 0 1 3 1 3 3]
104,6.0,comp_hr_esk_dis,[3 0 5 3 0 2 0 0 4 0 1 2 1 1]
105,6.0,avg_hr_esk_dis,[3 0 4 3 0 1 2 0 5 0 2 1 2 2]
106,6.0,comp_hr_lin_din,[0 1 0 0 4 3 1 4 5 1 2 3 2 2]
107,6.0,avg_hr_lin_dis,[0 4 0 0 1 5 2 1 3 4 2 5 2 2]
108,6.0,spect_edr,[5 5 1 0 2 1 5 4 1 3 0 5 0 2]
109,6.0,aff_edr,[1 1 0 1 0 0 1 0 0 0 1 1 1 0]
