,no_clust,algorithm,predictions
29,3.0,spect_cos_cat,"[2 1 1 0 0 1 0 1 2 2 2 2 0 2 2 1 0 1 0 2 2 1 1 2 2 2 2 0 1 0 2 1 1 0 2 0 1
 1 0 1 0 2 0 1]"
30,3.0,aff_cos_cat,"[1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0
 1 1 1 1 1 1 0]"
31,3.0,spect_cos_ent,"[0 0 2 0 1 0 0 2 1 0 2 0 0 0 0 0 2 0 1 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0
 1 2 2 0 0 0 2]"
32,3.0,aff_cos_ent,"[0 0 3 0 2 1 0 6 2 0 3 0 1 0 0 0 3 0 4 5 0 8 0 8 8 6 0 8 8 8 0 0 1 7 0 8 0
 9 3 6 0 0 0 1]"
33,3.0,spect_rbf,"[2 2 0 2 0 2 2 0 0 2 2 2 1 2 2 2 2 2 0 0 2 2 2 1 1 0 2 1 1 1 2 2 1 1 2 1 1
 0 1 0 2 2 2 2]"
34,3.0,spect_esk_sim,"[1 2 2 2 1 2 1 1 1 2 2 2 1 2 2 2 2 2 2 1 1 2 1 1 1 1 1 2 0 1 1 0 1 0 2 2 0
 0 1 1 1 2 0 2]"
35,3.0,aff_esk_sim,"[4 3 1 1 4 3 0 0 0 4 1 3 4 5 1 1 3 4 1 0 4 1 0 4 0 0 4 1 2 4 5 3 0 2 1 1 3
 2 4 3 5 1 2 1]"
36,3.0,spect_lin_sim,"[0 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 2 0 0 2 0 2 1 1 2
 2 0 0 0 1 2 1]"
37,3.0,aff_lin_sim,"[5 0 1 1 5 4 2 2 2 1 1 0 5 6 1 4 4 0 4 2 6 1 2 5 2 2 6 4 3 5 6 3 3 3 2 4 3
 3 5 3 6 1 3 4]"
38,3.0,comp_hr_esk_dis,"[0 0 0 0 0 1 2 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 2 2 2 0 1 0 0 1 2 1 0 0 1
 1 0 0 0 0 1 1]"
39,3.0,avg_hr_esk_dis,"[1 0 1 1 1 0 1 1 1 1 1 1 1 2 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 0
 0 1 2 2 1 0 1]"
40,3.0,comp_hr_lin_din,"[1 2 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 1 1 1 0 2 0 0 2 1 2 0 0 2
 2 1 0 0 0 0 0]"
41,3.0,avg_hr_lin_dis,"[1 2 0 0 1 2 1 1 0 0 1 2 1 0 0 0 0 2 0 1 1 0 2 1 1 1 1 0 2 1 0 2 1 2 1 0 2
 2 1 0 0 2 2 0]"
42,3.0,spect_edr,"[2 0 2 2 2 2 2 1 0 0 2 0 1 0 2 2 0 0 1 1 0 1 0 1 1 0 0 1 1 1 2 2 1 1 0 1 1
 1 1 0 0 0 2 0]"
43,3.0,aff_edr,"[3 3 3 3 0 0 0 0 3 3 0 3 1 3 0 3 3 3 1 0 3 0 3 1 1 3 3 1 1 1 3 0 1 2 3 1 0
 1 2 3 3 3 0 3]"
44,4.0,spectral warp,"[1 0 1 0 1 1 2 1 0 0 1 1 3 0 1 1 0 0 3 2 0 2 0 2 2 1 0 2 2 2 1 1 2 3 1 2 1
 2 3 0 0 1 1 1]"
45,4.0,aff prop,"[1 3 1 1 1 1 1 0 3 3 1 1 4 3 0 1 3 3 2 5 3 5 3 4 5 1 3 4 5 4 1 1 5 4 1 5 0
 5 6 3 3 0 0 1]"
46,4.0,pca,"[1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 1 0 1 1 0 0 1 1 1
 0 0 0 1 1 1 1]"
47,4.0,spectral overlap,"[0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 3 3 0 1 0 2 1 0 0 0 3 0 0 0 1 2 0 0 0
 3 3 0 0 0 0 0]"
48,4.0,km_choice,"[0 3 3 1 0 1 0 0 3 1 1 1 0 1 1 1 1 3 1 0 1 1 0 0 0 3 1 1 0 0 2 3 0 0 1 1 3
 0 0 0 2 1 1 3]"
49,4.0,km_ent,"[3 3 1 3 1 3 3 1 1 3 1 3 0 3 3 3 1 3 2 0 3 3 3 0 3 1 3 0 0 0 3 3 0 0 1 3 3
 2 0 1 3 3 3 1]"
50,4.0,km_con,"[2 3 3 3 0 3 0 2 2 2 1 1 0 3 3 3 3 3 3 0 1 3 0 2 0 1 1 3 0 0 2 1 0 0 2 3 3
 0 0 2 1 1 3 3]"
51,4.0,spect_cos_cat,"[1 0 0 3 2 0 3 0 1 1 3 1 2 1 1 0 3 0 2 1 1 0 0 1 1 1 3 3 0 2 2 0 1 2 1 2 0
 0 3 0 2 1 2 0]"
52,4.0,aff_cos_cat,"[1 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 0
 1 1 1 1 1 1 0]"
53,4.0,spect_cos_ent,"[1 1 1 1 2 3 1 3 2 1 3 1 1 1 1 1 3 1 2 3 1 0 1 0 0 3 1 0 0 1 1 1 1 0 1 0 1
 2 0 3 1 1 1 3]"
54,4.0,aff_cos_ent,"[0 0 3 0 2 1 0 6 2 0 3 0 1 0 0 0 3 0 4 5 0 8 0 8 8 6 0 8 8 8 0 0 1 7 0 8 0
 9 3 6 0 0 0 1]"
55,4.0,spect_rbf,"[0 0 2 0 3 2 0 2 3 0 2 0 1 0 0 0 2 0 3 2 0 0 0 1 1 2 0 1 1 1 0 0 1 1 0 1 0
 3 1 2 0 0 0 2]"
56,4.0,spect_esk_sim,"[3 2 2 2 3 2 3 1 3 2 2 1 3 2 2 2 2 1 2 3 3 2 1 1 1 1 3 2 0 3 3 0 1 0 1 2 0
 0 3 1 3 1 0 2]"
57,4.0,aff_esk_sim,"[4 3 1 1 4 3 0 0 0 4 1 3 4 5 1 1 3 4 1 0 4 1 0 4 0 0 4 1 2 4 5 3 0 2 1 1 3
 2 4 3 5 1 2 1]"
58,4.0,spect_lin_sim,"[3 2 0 0 3 0 3 1 3 0 0 1 3 0 0 0 0 1 0 3 3 0 1 1 1 1 3 0 2 3 3 2 1 2 1 0 2
 2 3 1 3 1 2 1]"
59,4.0,aff_lin_sim,"[5 0 1 1 5 4 2 2 2 1 1 0 5 6 1 4 4 0 4 2 6 1 2 5 2 2 6 4 3 5 6 3 3 3 2 4 3
 3 5 3 6 1 3 4]"
60,4.0,comp_hr_esk_dis,"[3 3 3 3 1 0 2 2 3 3 1 1 2 3 3 1 1 3 1 2 1 1 1 1 2 2 2 1 0 1 3 0 2 0 1 1 0
 0 3 3 3 1 0 0]"
61,4.0,avg_hr_esk_dis,"[0 1 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 3 0 0 3
 3 0 2 2 0 3 0]"
62,4.0,comp_hr_lin_din,"[3 2 0 0 0 1 3 3 0 0 0 1 3 0 0 1 1 2 1 3 1 0 1 1 3 3 3 1 2 0 0 2 3 2 1 1 2
 2 3 0 0 1 1 1]"
63,4.0,avg_hr_lin_dis,"[1 2 0 0 1 2 1 1 3 0 1 2 1 3 0 0 0 2 0 1 1 0 2 1 1 1 1 0 2 1 3 2 1 2 1 0 2
 2 1 3 0 2 2 0]"
64,4.0,spect_edr,"[0 3 0 0 2 0 2 2 3 0 0 0 1 3 2 0 3 3 1 2 3 1 3 1 1 0 3 1 1 1 0 0 1 1 0 1 2
 1 1 3 3 0 2 0]"
