,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,spectral warp,0.05103,0.03563,0.07486,0.0468,0.07614,0.07362,0.07483,0.03885,0.0584,0.05712,0.07424,0.05831,0.05604,0.05709,28.0,12.0,32.0,8.0,37.0,28.0,31.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,aff prop,0.13365,0.02661,0.14307,0.02558,0.10631,0.19282,0.13687,0.06379,0.05894,0.06911,0.0682,0.05236,0.09203,0.06644,9.0,20.0,9.0,28.0,16.0,9.0,7.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,pca,0.06391,0.05175,0.10681,0.04254,0.12692,0.0922,0.1044,0.0643,0.09712,0.10579,0.07428,0.12372,0.09277,0.10497,18.0,5.0,16.0,11.0,8.0,18.0,16.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,spectral overlap,0.02609,-0.00345,0.04413,-0.01031,0.05309,0.03763,0.04297,0.02955,0.04227,0.054,0.04439,0.07271,0.04264,0.05164,51.0,50.0,51.0,52.0,51.0,51.0,51.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,km_choice,0.06323,0.05233,0.09515,0.06804,0.10031,0.09122,0.09458,0.06488,0.09848,0.09573,0.12032,0.10053,0.0936,0.09538,19.0,3.0,22.0,2.0,20.0,19.0,20.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,km_ent,0.05963,0.04635,0.09716,0.04267,0.11218,0.08603,0.09542,0.05437,0.08157,0.08899,0.06985,0.10488,0.07845,0.08803,22.0,8.0,20.0,10.0,13.0,22.0,18.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,km_con,0.08155,0.07873,0.12975,0.08058,0.14645,0.11765,0.12768,0.08341,0.12633,0.12584,0.12709,0.1355,0.12033,0.12568,15.0,1.0,11.0,1.0,6.0,15.0,10.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,spect_cos_cat,0.04714,0.0288,0.06969,0.0397,0.07156,0.06801,0.0696,0.06712,0.10137,0.0973,0.12506,0.09784,0.09683,0.09731,34.0,18.0,37.0,13.0,39.0,34.0,37.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,aff_cos_cat,0.08908,0.01087,0.10788,0.02186,0.09435,0.12852,0.10459,0.06506,0.0531,0.07159,0.07562,0.06042,0.09386,0.06983,14.0,40.0,15.0,32.0,22.0,14.0,15.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,spect_cos_ent,0.02455,-0.00547,0.03929,-0.00936,0.04404,0.03541,0.03887,0.03153,0.04652,0.05405,0.04538,0.06578,0.04549,0.05292,52.0,52.0,52.0,51.0,52.0,52.0,52.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,aff_cos_ent,0.15186,0.00816,0.15756,0.00584,0.11404,0.21908,0.14913,0.05764,0.05275,0.06123,0.04855,0.04813,0.08316,0.0589,5.0,43.0,5.0,44.0,11.0,5.0,4.0
11,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[1, 1]",,spect_rbf,0.05349,0.03812,0.08192,0.04435,0.08728,0.07717,0.08161,0.0452,0.06816,0.07149,0.07075,0.07961,0.06521,0.07096,26.0,11.0,29.0,9.0,27.0,26.0,27.0
