,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spectral warp,0.08108,0.08033,0.1202,0.09824,0.12388,0.11698,0.11997,0.07291,0.1097,0.10819,0.13339,0.11256,0.10518,0.10794,22.0,7.0,24.0,3.0,24.0,22.0,24.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff prop,0.14557,0.03736,0.14451,0.04233,0.30676,0.21001,0.13263,0.18307,0.09932,0.15833,0.1182,0.36882,0.26412,0.14165,11.0,42.0,12.0,44.0,2.0,11.0,15.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,pca,0.07014,0.06305,0.10275,0.08496,0.10447,0.10118,0.10268,0.07533,0.11441,0.10898,0.14116,0.10935,0.10868,0.109,31.0,15.0,32.0,13.0,35.0,31.0,31.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spectral overlap,0.03295,0.00152,0.07071,-0.00204,0.11138,0.04753,0.06333,0.03103,0.04557,0.06034,0.0406,0.09389,0.04477,0.05609,53.0,53.0,52.0,53.0,31.0,53.0,52.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_choice,0.06016,0.04687,0.09263,0.0496,0.09916,0.08679,0.0923,0.08991,0.13604,0.13513,0.12989,0.14079,0.12972,0.13506,34.0,23.0,35.0,25.0,36.0,34.0,35.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_ent,0.08003,0.07812,0.1212,0.08664,0.12768,0.11546,0.12084,0.08716,0.13128,0.13151,0.14782,0.13887,0.12575,0.13114,25.0,9.0,23.0,12.0,23.0,25.0,23.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,km_con,0.06016,0.04687,0.09263,0.0496,0.09916,0.08679,0.0923,0.08991,0.13604,0.13513,0.12989,0.14079,0.12972,0.13506,34.0,26.0,35.0,25.0,36.0,34.0,35.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_cos_cat,0.03501,0.00956,0.0544,0.01537,0.05952,0.05051,0.05382,0.03622,0.05505,0.05696,0.06393,0.06627,0.05226,0.05597,52.0,52.0,53.0,51.0,53.0,52.0,53.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,aff_cos_cat,0.25525,0.02276,0.23954,0.02896,0.16147,0.36825,0.218,0.15064,0.06292,0.10368,0.06285,0.06052,0.21733,0.08539,4.0,48.0,3.0,48.0,10.0,4.0,3.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.1]","[0.1, 0.3]",,spect_cos_ent,0.08457,0.08549,0.12574,0.1034,0.12996,0.12201,0.12549,0.07392,0.11124,0.1096,0.13569,0.11389,0.10665,0.10936,20.0,4.0,20.0,1.0,20.0,20.0,19.0
