,no_clust,algorithm,predictions
0,2.0,spectral warp,[0 0 1 1 0 0 1 1]
1,2.0,aff prop,[0 1 2 2 1 1 2 0]
2,2.0,pca,[1 0 0 0 0 0 0 0]
3,2.0,spectral overlap,[0 1 0 0 1 1 1 0]
4,2.0,km_choice,[1 0 0 1 1 0 0 0]
5,2.0,km_ent,[1 0 0 0 0 0 0 0]
6,2.0,km_con,[1 0 0 0 0 0 0 0]
7,2.0,spect_cos_cat,[1 0 0 1 1 0 0 0]
8,2.0,aff_cos_cat,[0 0 0 0 0 0 0 0]
9,2.0,spect_cos_ent,[1 0 0 0 0 0 0 0]
10,2.0,aff_cos_ent,[0 1 1 1 2 2 2 1]
11,2.0,spect_rbf,[1 1 0 0 0 0 0 0]
12,2.0,spect_esk_sim,[1 0 0 0 0 1 1 0]
13,2.0,aff_esk_sim,[1 0 1 0 1 0 1 2]
14,2.0,spect_lin_sim,[0 1 1 1 1 0 0 1]
15,2.0,aff_lin_sim,[1 0 1 0 1 1 1 0]
16,2.0,comp_hr_esk_dis,[0 0 1 0 0 0 0 1]
17,2.0,avg_hr_esk_dis,[0 0 1 0 0 0 0 1]
18,2.0,comp_hr_lin_din,[0 1 1 0 0 0 0 1]
19,2.0,avg_hr_lin_dis,[0 1 1 0 0 0 0 1]
20,2.0,spect_edr,[0 1 0 0 0 1 0 0]
21,2.0,aff_edr,[0 2 0 0 1 2 3 0]
22,3.0,spectral warp,[2 0 1 1 0 0 1 2]
23,3.0,aff prop,[0 1 2 2 1 1 2 0]
24,3.0,pca,[1 0 0 0 0 0 0 0]
25,3.0,spectral overlap,[0 2 0 1 2 1 1 1]
26,3.0,km_choice,[0 1 1 0 0 2 2 1]
27,3.0,km_ent,[1 0 2 2 0 0 2 0]
28,3.0,km_con,[1 2 2 2 0 0 0 2]
29,3.0,spect_cos_cat,[2 1 1 2 0 0 0 1]
30,3.0,aff_cos_cat,[0 0 0 0 0 0 0 0]
31,3.0,spect_cos_ent,[2 1 1 1 0 0 0 1]
32,3.0,aff_cos_ent,[0 1 1 1 2 2 2 1]
33,3.0,spect_rbf,[0 0 1 1 2 2 1 1]
34,3.0,spect_esk_sim,[0 1 2 1 1 1 0 2]
35,3.0,aff_esk_sim,[1 0 1 0 1 0 1 2]
36,3.0,spect_lin_sim,[0 2 1 2 1 2 0 1]
37,3.0,aff_lin_sim,[1 0 1 0 1 1 1 0]
38,3.0,comp_hr_esk_dis,[2 0 1 0 2 0 2 1]
39,3.0,avg_hr_esk_dis,[2 0 1 0 2 0 2 1]
40,3.0,comp_hr_lin_din,[1 0 0 2 1 2 1 0]
41,3.0,avg_hr_lin_dis,[1 0 0 2 1 2 1 0]
42,3.0,spect_edr,[0 1 2 0 0 1 2 0]
43,3.0,aff_edr,[0 2 0 0 1 2 3 0]
