,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spectral warp,0.04125,0.02085,0.06076,0.02661,0.06209,0.05951,0.06072,0.05079,0.07629,0.07432,0.0965,0.07551,0.07327,0.07429,43.0,36.0,47.0,35.0,47.0,43.0,46.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff prop,0.15514,0.04141,0.16074,0.03714,0.11602,0.22382,0.15213,0.10786,0.0847,0.10865,0.08309,0.07765,0.15561,0.10223,7.0,16.0,9.0,23.0,20.0,7.0,10.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,pca,0.05979,0.04741,0.09356,0.04636,0.10259,0.08626,0.09274,0.07343,0.11018,0.11419,0.11113,0.12566,0.10594,0.11348,22.0,9.0,25.0,13.0,28.0,22.0,23.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spectral overlap,0.02775,-0.0008,0.04509,0.00036,0.05408,0.04003,0.04345,0.0346,0.05198,0.05327,0.06749,0.0668,0.04992,0.05181,50.0,50.0,50.0,46.0,48.0,50.0,50.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_choice,0.06482,0.05251,0.10466,0.05664,0.12091,0.09352,0.10246,0.08055,0.12267,0.12396,0.12275,0.13669,0.11622,0.12348,20.0,7.0,21.0,8.0,17.0,20.0,19.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_ent,0.05612,0.04219,0.08692,0.04556,0.09446,0.08096,0.08617,0.06158,0.09226,0.09521,0.10692,0.1054,0.08884,0.09442,26.0,15.0,27.0,15.0,31.0,26.0,26.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_con,0.04817,0.03061,0.07325,0.03646,0.07822,0.06949,0.07269,0.05552,0.08323,0.08319,0.1042,0.08957,0.0801,0.08263,31.0,25.0,38.0,25.0,37.0,31.0,37.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_cos_cat,0.08085,0.07813,0.12443,0.08819,0.1338,0.11665,0.12366,0.07354,0.11177,0.11298,0.11688,0.123,0.10609,0.11237,18.0,2.0,16.0,2.0,12.0,18.0,16.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_cos_cat,0.14529,0.03856,0.18758,0.03965,0.17168,0.20961,0.18459,0.08207,0.0913,0.09328,0.09106,0.08061,0.11841,0.09154,11.0,19.0,6.0,20.0,4.0,11.0,6.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_cos_ent,0.03822,0.01433,0.06196,0.00981,0.07139,0.05514,0.06082,0.05518,0.08301,0.09082,0.06554,0.10625,0.07961,0.0898,44.0,40.0,46.0,42.0,41.0,44.0,45.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_cos_ent,0.15456,0.00835,0.15926,0.01228,0.11403,0.22298,0.15057,0.07509,0.04991,0.07475,0.05224,0.05228,0.10833,0.07007,8.0,43.0,11.0,40.0,23.0,8.0,11.0
11,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_rbf,0.05644,0.04302,0.08566,0.04992,0.09067,0.08142,0.08529,0.05835,0.08752,0.08863,0.10555,0.09547,0.08419,0.08811,25.0,13.0,29.0,10.0,34.0,25.0,28.0
12,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_esk_sim,0.05326,0.03601,0.08548,0.03462,0.09587,0.07683,0.08463,0.06932,0.10468,0.10959,0.0981,0.12246,0.1,0.10868,28.0,20.0,30.0,27.0,29.0,28.0,29.0
13,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_esk_sim,0.13808,0.00788,0.18812,0.00221,0.18201,0.19921,0.1857,0.0464,0.03338,0.04083,0.02912,0.02973,0.06694,0.04031,13.0,45.0,5.0,44.0,2.0,13.0,5.0
14,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_lin_sim,0.03385,0.00937,0.04981,0.01494,0.05088,0.04883,0.04976,0.04161,0.06278,0.06026,0.08133,0.06056,0.06002,0.06026,47.0,41.0,49.0,38.0,50.0,47.0,49.0
15,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_lin_sim,0.13555,0.02211,0.15492,0.02263,0.12353,0.19556,0.15047,0.08994,0.07972,0.09908,0.07287,0.07675,0.12975,0.09586,14.0,34.0,13.0,36.0,15.0,14.0,12.0
16,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,comp_hr_esk_dis,0.03434,0.00031,0.07905,0.00143,0.13076,0.04954,0.06967,0.02036,0.03078,0.04511,0.01742,0.07897,0.02938,0.04023,46.0,46.0,33.0,45.0,13.0,46.0,39.0
17,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,avg_hr_esk_dis,0.03612,0.0003,0.09517,0.00011,0.17461,0.05211,0.07997,0.01216,0.01849,0.02619,0.00662,0.04254,0.01754,0.02396,45.0,47.0,23.0,47.0,3.0,45.0,30.0
18,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,comp_hr_lin_din,0.04728,0.02767,0.07458,0.03095,0.08336,0.06822,0.07354,0.06693,0.10123,0.10148,0.10171,0.10907,0.09656,0.10123,32.0,30.0,37.0,32.0,35.0,32.0,35.0
19,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,avg_hr_lin_dis,0.04176,0.01459,0.0779,0.01399,0.10573,0.06025,0.07352,0.06195,0.09434,0.09932,0.07901,0.11871,0.08937,0.09787,42.0,39.0,34.0,39.0,26.0,42.0,36.0
20,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_edr,0.01505,-0.01896,0.02292,-0.02281,0.02422,0.02171,0.02287,0.0191,0.02846,0.02946,0.03407,0.03159,0.02755,0.02937,53.0,53.0,53.0,53.0,53.0,53.0,53.0
