,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spectral warp,0.03809,0.01589,0.05585,0.02236,0.0568,0.05495,0.05583,0.04968,0.07487,0.07266,0.09407,0.0737,0.07167,0.07265,34.0,26.0,43.0,26.0,47.0,34.0,43.0
1,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff prop,0.13466,0.05896,0.15564,0.05187,0.12568,0.19427,0.15149,0.08909,0.08581,0.09942,0.07498,0.07944,0.12853,0.09645,16.0,9.0,13.0,11.0,27.0,16.0,13.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,pca,0.03663,0.01303,0.0542,0.02006,0.05568,0.05285,0.05413,0.05589,0.08449,0.08157,0.10419,0.08259,0.08064,0.08157,36.0,29.0,44.0,27.0,48.0,36.0,44.0
3,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spectral overlap,0.03986,0.00599,0.10306,0.00215,0.18613,0.05751,0.08733,0.01198,0.01844,0.0187,0.00661,0.01512,0.01728,0.02044,32.0,35.0,24.0,36.0,2.0,32.0,25.0
4,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_choice,0.03197,-0.00011,0.06483,-0.00222,0.09435,0.04612,0.06008,0.02758,0.03982,0.05855,0.02705,0.09147,0.03978,0.05381,43.0,42.0,37.0,42.0,35.0,43.0,38.0
5,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_ent,0.0391,0.01754,0.0572,0.02379,0.05802,0.0564,0.05719,0.05461,0.08219,0.07955,0.10314,0.08033,0.07879,0.07955,33.0,25.0,42.0,25.0,46.0,33.0,42.0
6,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,km_con,0.01904,-0.0142,0.02869,-0.01068,0.0301,0.02747,0.02859,0.03195,0.04868,0.04656,0.06062,0.04717,0.04609,0.04655,53.0,52.0,53.0,52.0,53.0,53.0,53.0
7,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_cos_cat,0.0237,-0.00964,0.04361,-0.00845,0.05842,0.03419,0.04128,0.02561,0.03764,0.04835,0.03535,0.07161,0.03695,0.04526,49.0,49.0,49.0,47.0,45.0,49.0,49.0
8,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_cos_cat,0.21556,0.03775,0.22906,0.02897,0.17018,0.31098,0.21824,0.06051,0.05844,0.0614,0.05345,0.04872,0.0873,0.05919,7.0,13.0,4.0,22.0,6.0,7.0,4.0
9,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_cos_ent,0.04914,0.03013,0.07722,0.03547,0.08468,0.07089,0.07666,0.05556,0.08429,0.08496,0.09534,0.09215,0.08016,0.08442,25.0,15.0,32.0,20.0,37.0,25.0,31.0
10,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_cos_ent,0.19775,0.02564,0.20637,0.03838,0.15016,0.2853,0.1957,0.06758,0.04646,0.06591,0.07795,0.04692,0.0975,0.06188,8.0,20.0,8.0,17.0,11.0,8.0,7.0
11,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_rbf,0.04327,0.02413,0.06287,0.03099,0.06332,0.06243,0.06287,0.06645,0.09981,0.09619,0.12605,0.09651,0.09586,0.09619,27.0,22.0,39.0,21.0,43.0,27.0,36.0
12,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_esk_sim,0.03186,0.00047,0.06105,-0.00042,0.08321,0.04597,0.05784,0.02693,0.039,0.05658,0.02484,0.08571,0.03886,0.05239,44.0,40.0,40.0,40.0,38.0,44.0,41.0
13,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_esk_sim,0.18351,0.00032,0.19969,-0.00539,0.1518,0.26475,0.19156,0.07119,0.03449,0.06358,0.03629,0.04065,0.10271,0.05786,9.0,41.0,9.0,46.0,10.0,9.0,9.0
14,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_lin_sim,0.02424,-0.0073,0.04035,-0.00864,0.04685,0.03497,0.0398,0.02928,0.04326,0.0516,0.0366,0.06395,0.04224,0.05038,48.0,48.0,50.0,48.0,51.0,48.0,50.0
15,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,aff_lin_sim,0.14404,-0.00512,0.15196,-0.00912,0.112,0.20781,0.1445,0.07921,0.04509,0.07446,0.04381,0.04886,0.11428,0.06864,13.0,45.0,14.0,49.0,30.0,13.0,15.0
16,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,comp_hr_esk_dis,0.04207,0.0124,0.09041,0.00697,0.13895,0.06069,0.08222,0.02651,0.03973,0.05625,0.02058,0.08898,0.03825,0.05197,28.0,30.0,27.0,32.0,14.0,28.0,26.0
17,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,avg_hr_esk_dis,0.04028,0.00958,0.08727,0.00501,0.13513,0.05811,0.07914,0.02827,0.04234,0.05982,0.02235,0.09369,0.04079,0.05529,31.0,33.0,30.0,34.0,17.0,31.0,29.0
18,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,comp_hr_lin_din,0.02722,-0.00609,0.05166,-0.00483,0.07033,0.03927,0.0489,0.02895,0.04296,0.05656,0.02792,0.08189,0.04177,0.05334,46.0,47.0,46.0,45.0,41.0,46.0,46.0
19,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,avg_hr_lin_dis,0.03636,0.00705,0.06952,0.00495,0.09514,0.05245,0.06571,0.03356,0.04978,0.06449,0.03786,0.09249,0.04841,0.06097,38.0,34.0,35.0,35.0,34.0,38.0,35.0
20,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.5, 0.5]",,spect_edr,0.03653,0.01363,0.05388,0.0183,0.05512,0.0527,0.05385,0.04202,0.06324,0.06182,0.07985,0.06311,0.06062,0.06179,37.0,28.0,45.0,28.0,49.0,37.0,45.0
