,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
14,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spect_lin_sim,0.0230518193248,-0.00643097574565,0.0341430436286,-0.00857713275936,0.0350795974434,0.0332567454234,0.0341179717616,0.0260623088698,0.0390308367816,0.0392846948734,0.0477892335063,0.0411219267292,0.0375999637606,0.0392329197328,52,51,52,51,52,52,52
15,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff_lin_sim,0.138624700899,0.0122008084378,0.133854816522,0.0090179146052,0.0897433255188,0.199993168532,0.123708618535,0.0912991365949,0.0622557747807,0.0873787984938,0.0588041096319,0.0582482673862,0.131716811603,0.0805957614229,6,32,9,34,29,6,11
16,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,comp_hr_esk_dis,0.0269668253021,-0.00460223595861,0.0496318558179,-0.00507742644013,0.0671541713483,0.0389049051318,0.0467397243162,0.0315885767215,0.0469215845385,0.0573819311313,0.0435479341284,0.0816231802366,0.0455726829849,0.0545116361731,50,50,46,47,41,50,47
17,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,avg_hr_esk_dis,0.037715085798,0.00436598850628,0.0900191045212,0.000388065843344,0.151930966113,0.0544113672475,0.0788326159126,0.0223735977678,0.0327274569738,0.0485303030468,0.0141334051271,0.0785578573067,0.0322782785464,0.0444642118878,41,40,28,42,4,41,30
18,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,comp_hr_lin_din,0.0372511949396,0.0137173416192,0.0586661104506,0.0112501131953,0.0642805658929,0.0537421142065,0.0583246522266,0.0418101027701,0.0623341664465,0.0684020887171,0.0589496816471,0.0782207125665,0.0603192279255,0.0677371686734,42,31,43,32,42,42,43
19,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,avg_hr_lin_dis,0.0456085182673,0.0245081413853,0.0775641329171,0.0240787576948,0.096101888087,0.0657991831265,0.0746819636742,0.0459949720791,0.0692086582175,0.0727630822374,0.0764192137291,0.0889588566076,0.0663567181243,0.0716481747474,33,25,34,25,25,33,35
20,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spect_edr,0.0398656405105,0.0187973129172,0.0586972496845,0.023945298124,0.0599358554853,0.0575139618664,0.0586696335825,0.0477271827896,0.0717019304781,0.0705022473663,0.0892287531479,0.0722828019078,0.0688557699261,0.0704650697444,40,30,42,26,45,40,42
21,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,aff_edr,0.10489395889,0.00702684714733,0.107837516935,0.00953472480303,0.0800778331232,0.151329994309,0.100743590591,0.0950994618669,0.0561898911016,0.0857336805875,0.0615661004459,0.0597370537693,0.137199522027,0.0778078246319,14,36,22,33,34,14,24
22,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral bad warp,0.03539143702,0.012166306542,0.0519792454632,0.0149550201977,0.0529272883895,0.0510590506786,0.0519653290927,0.0489964001608,0.0735945596683,0.0725435142857,0.0898634413348,0.0744847219848,0.0706868635334,0.0725120612738,43,33,44,31,47,43,44
23,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity bad warp,0.128706170121,0.0109547313918,0.128741279693,0.00094487949703,0.0894476640256,0.185683753366,0.120513574974,0.0830280179907,0.0613208045594,0.0819552805376,0.0638748263485,0.0564867547445,0.11978410981,0.0764921898095,9,34,12,41,30,9,14
24,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,PCA bad euclid,0.070425771615,0.0630203144828,0.110225243447,0.0632282389077,0.120400452421,0.10160291146,0.109464005844,0.0757191366125,0.113870667439,0.117061496704,0.122076380952,0.12781161023,0.109239622891,0.116361630768,21,5,20,5,13,21,18
25,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,spectral bad eucsim,0.0524582300831,0.0378730702675,0.0764713898811,0.0486195337833,0.0772961276304,0.0756812283947,0.0764541331293,0.0659476494376,0.0990627182726,0.0958396372077,0.124299475469,0.0966099773166,0.095142346802,0.0958255139282,31,17,35,12,35,31,33
26,"[0, 2, 4]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[2, 2]",,affinity bad eucsim,0.13668323453,0.0399858470974,0.148583705763,0.036711130241,0.113679408093,0.197192224629,0.142183499646,0.0974974031853,0.102166670714,0.113958954878,0.0985992728121,0.0969410326175,0.140659020075,0.111705615836,7,15,5,18,18,7,6
