,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,MI-M,ADMI-M,NMI-M,ARI-M,CO-M,HO-M,VM-M,MI-S,ADMI-S,NMI-S,ARI-S,CO-S,HO-S,VM-S,MI-MR,ADMI-MR,NMI-MR,ARI-MR,CO-MR,HO-MR,VM-MR
0,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral warp,0.0241,-0.00489,0.03548,-0.00619,0.03627,0.03476,0.03545,0.0452,0.06785,0.06568,0.08809,0.0663,0.06521,0.06566,53.0,53.0,53.0,53.0,53.0,53.0,53.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff prop,0.11297,0.03002,0.12547,0.02699,0.10425,0.16298,0.11838,0.14408,0.08084,0.12712,0.08098,0.0946,0.20787,0.11509,15.0,24.0,16.0,22.0,24.0,15.0,16.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,pca,0.03175,0.00386,0.05263,0.00262,0.06155,0.0458,0.05164,0.03735,0.05567,0.06453,0.05344,0.08078,0.05388,0.06279,50.0,50.0,49.0,50.0,47.0,50.0,50.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral overlap,0.04543,0.01958,0.09228,0.01662,0.13778,0.06554,0.0843,0.03818,0.0581,0.06375,0.05849,0.08826,0.05508,0.06189,39.0,37.0,23.0,38.0,12.0,39.0,28.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_choice,0.04763,0.02657,0.07974,0.02424,0.09353,0.06871,0.07842,0.04312,0.06528,0.07451,0.05094,0.09183,0.06221,0.07289,35.0,27.0,35.0,27.0,35.0,35.0,36.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_ent,0.02734,-0.00253,0.04383,4e-05,0.04958,0.03945,0.04318,0.02911,0.04412,0.04892,0.0445,0.06072,0.04199,0.04762,51.0,51.0,51.0,51.0,51.0,51.0,51.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,km_con,0.05015,0.03201,0.08046,0.03071,0.0901,0.07235,0.07972,0.05543,0.08323,0.08827,0.08618,0.09971,0.07998,0.08737,30.0,19.0,34.0,17.0,41.0,30.0,33.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_cos_cat,0.05303,0.03368,0.09672,0.01642,0.12462,0.07651,0.09318,0.05333,0.07919,0.09535,0.05392,0.12188,0.07693,0.09283,24.0,16.0,21.0,39.0,19.0,24.0,21.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_cos_cat,0.21346,0.00784,0.21727,0.005,0.15696,0.30796,0.20388,0.12172,0.03406,0.07943,0.03521,0.04153,0.1756,0.0623,6.0,47.0,5.0,49.0,10.0,6.0,4.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_cos_ent,0.07542,0.07126,0.11683,0.07169,0.12612,0.10881,0.1162,0.06854,0.10268,0.10805,0.10382,0.11977,0.09889,0.10737,17.0,3.0,17.0,1.0,18.0,17.0,17.0
10,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_cos_ent,0.23742,0.07187,0.2493,0.05524,0.18305,0.34252,0.23666,0.11206,0.0922,0.10867,0.07499,0.07739,0.16168,0.10155,4.0,2.0,3.0,6.0,5.0,4.0,2.0
11,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_rbf,0.02493,-0.00415,0.0377,-0.0049,0.03962,0.03596,0.03761,0.02697,0.04039,0.04135,0.04717,0.04412,0.03892,0.04124,52.0,52.0,52.0,52.0,52.0,52.0,52.0
12,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_esk_sim,0.04721,0.02568,0.07883,0.02497,0.0923,0.06811,0.07751,0.04826,0.07325,0.08091,0.06384,0.09722,0.06962,0.07942,36.0,28.0,37.0,26.0,36.0,36.0,38.0
13,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_esk_sim,0.15879,0.01857,0.17553,0.01627,0.13589,0.22908,0.16897,0.07351,0.05522,0.07483,0.05989,0.05506,0.10605,0.07134,9.0,38.0,8.0,41.0,13.0,9.0,8.0
14,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_lin_sim,0.0463,0.02545,0.07529,0.02636,0.08586,0.0668,0.0743,0.0541,0.0816,0.08527,0.08577,0.09642,0.07806,0.08435,38.0,30.0,43.0,24.0,44.0,38.0,42.0
15,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_lin_sim,0.14953,0.04076,0.16949,0.02863,0.13454,0.21572,0.16412,0.07293,0.05819,0.07433,0.05866,0.05502,0.10522,0.07078,11.0,10.0,9.0,19.0,15.0,11.0,9.0
16,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,comp_hr_esk_dis,0.04276,0.018,0.07451,0.01477,0.09122,0.06169,0.07267,0.04318,0.06533,0.07696,0.04677,0.09818,0.0623,0.07474,44.0,40.0,44.0,42.0,38.0,44.0,44.0
17,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,avg_hr_esk_dis,0.04276,0.018,0.07451,0.01477,0.09122,0.06169,0.07267,0.04318,0.06533,0.07696,0.04677,0.09818,0.0623,0.07474,44.0,40.0,44.0,42.0,38.0,44.0,44.0
18,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,comp_hr_lin_din,0.04994,0.03047,0.08263,0.02851,0.09594,0.07204,0.08133,0.05665,0.08535,0.09126,0.08657,0.1057,0.08173,0.08999,31.0,23.0,32.0,20.0,31.0,31.0,32.0
19,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,avg_hr_lin_dis,0.05183,0.03352,0.08559,0.03114,0.09914,0.07478,0.08428,0.05548,0.08345,0.0894,0.08508,0.10371,0.08004,0.08814,27.0,17.0,29.0,16.0,29.0,27.0,29.0
20,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spect_edr,0.0389,0.01705,0.05804,0.02079,0.06013,0.05611,0.05795,0.04549,0.06829,0.06759,0.08408,0.06982,0.06562,0.06754,47.0,42.0,47.0,34.0,48.0,47.0,47.0
21,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,aff_edr,0.23917,0.04743,0.22044,0.04127,0.19761,0.34505,0.19856,0.19954,0.07439,0.14533,0.06925,0.20235,0.28787,0.12033,3.0,7.0,4.0,9.0,4.0,3.0,5.0
22,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad warp,0.04675,0.0256,0.07842,0.02215,0.09215,0.06745,0.0771,0.04379,0.06578,0.07553,0.05282,0.09289,0.06318,0.0739,37.0,29.0,41.0,33.0,37.0,37.0,39.0
23,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad warp,0.1287,0.06565,0.15456,0.05851,0.23209,0.18568,0.15043,0.08427,0.09219,0.10405,0.0936,0.27747,0.12157,0.10214,13.0,4.0,12.0,5.0,1.0,13.0,10.0
24,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,PCA bad euclid,0.05446,0.03714,0.08964,0.0368,0.10349,0.07858,0.0883,0.05391,0.08155,0.0867,0.08204,0.10058,0.07777,0.08549,21.0,14.0,27.0,11.0,25.0,22.0,26.0
25,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad eucsim,0.05446,0.03738,0.08964,0.03588,0.10349,0.07858,0.0883,0.05391,0.08131,0.0867,0.08298,0.10058,0.07777,0.08549,21.0,13.0,27.0,12.0,25.0,21.0,25.0
26,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,affinity bad eucsim,0.12336,0.03852,0.14454,0.03494,0.21977,0.17798,0.14042,0.0843,0.07806,0.09722,0.07659,0.27654,0.12161,0.09505,14.0,11.0,14.0,13.0,2.0,14.0,13.0
27,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.1, 0.3]","[0.1, 0.1]",,spectral bad cosine,0.0351,0.0112,0.05277,0.01313,0.0551,0.05064,0.05266,0.04672,0.07012,0.06899,0.08586,0.07081,0.06741,0.06894,49.0,45.0,48.0,44.0,49.0,49.0,48.0
