,no_clust,algorithm,predictions
0,2.0,spectral warp,[0 0 0 0 1 0 0 1]
1,2.0,aff prop,[0 0 1 0 2 1 1 3]
2,2.0,pca,[0 0 0 0 0 1 1 0]
3,2.0,spectral overlap,[1 1 1 1 0 1 1 0]
4,2.0,km_choice,[1 0 1 0 1 0 1 1]
5,2.0,km_ent,[1 1 1 1 1 0 0 1]
6,2.0,km_con,[1 1 0 1 1 1 0 0]
7,2.0,spect_cos_cat,[0 0 1 0 0 0 1 1]
8,2.0,aff_cos_cat,[0 0 0 0 0 0 0 0]
9,2.0,spect_cos_ent,[0 0 0 0 0 1 1 0]
10,2.0,aff_cos_ent,[0 0 0 0 1 2 3 0]
11,2.0,spect_rbf,[1 1 1 1 1 0 0 1]
12,2.0,spect_esk_sim,[0 1 1 1 1 1 0 0]
13,2.0,aff_esk_sim,[1 0 0 0 1 1 1 2]
14,2.0,spect_lin_sim,[0 0 1 0 0 1 0 1]
15,2.0,aff_lin_sim,[0 1 1 0 0 1 0 0]
16,2.0,comp_hr_esk_dis,[0 0 0 0 0 0 0 1]
17,2.0,avg_hr_esk_dis,[0 0 0 0 0 0 0 1]
18,2.0,comp_hr_lin_din,[1 0 0 0 0 0 0 1]
19,2.0,avg_hr_lin_dis,[1 0 0 0 0 0 0 1]
20,2.0,spect_edr,[1 1 0 1 0 0 0 0]
21,2.0,aff_edr,[0 0 0 0 1 0 2 2]
22,3.0,spectral warp,[0 0 1 0 2 1 1 2]
23,3.0,aff prop,[0 0 1 0 2 1 1 3]
24,3.0,pca,[0 0 0 0 0 1 1 0]
25,3.0,spectral overlap,[0 0 2 2 1 2 0 1]
26,3.0,km_choice,[1 0 1 0 1 2 1 1]
27,3.0,km_ent,[0 0 0 0 2 1 1 0]
28,3.0,km_con,[1 1 2 1 1 2 2 0]
29,3.0,spect_cos_cat,[0 2 0 2 0 1 0 0]
30,3.0,aff_cos_cat,[0 0 0 0 0 0 0 0]
31,3.0,spect_cos_ent,[1 1 2 1 2 0 0 2]
32,3.0,aff_cos_ent,[0 0 0 0 1 2 3 0]
33,3.0,spect_rbf,[1 1 1 1 2 0 0 2]
34,3.0,spect_esk_sim,[0 1 1 0 0 1 0 2]
35,3.0,aff_esk_sim,[1 0 0 0 1 1 1 2]
36,3.0,spect_lin_sim,[0 2 2 1 1 2 0 0]
37,3.0,aff_lin_sim,[0 1 1 0 0 1 0 0]
38,3.0,comp_hr_esk_dis,[2 0 0 2 2 0 2 1]
39,3.0,avg_hr_esk_dis,[0 2 2 0 0 0 0 1]
40,3.0,comp_hr_lin_din,[1 2 2 0 0 0 0 1]
41,3.0,avg_hr_lin_dis,[1 2 2 0 0 0 0 1]
42,3.0,spect_edr,[2 2 0 2 1 0 0 0]
43,3.0,aff_edr,[0 0 0 0 1 0 2 2]
