,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
15,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_lin_sim,[0 3 2 2 1 1 1 2 2 2 2 3 2 2 2 2 3 3 2 2],0.17316,0.07701,0.20176,0.03137,0.16294,0.24982,0.19724,2.0,11.0,12.0,11.0,13.0,2.0,12.0
16,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,comp_hr_esk_dis,[0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,5.0,7.0,1.0,1.0,1.0,5.0,1.0
17,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,avg_hr_esk_dis,[0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,5.0,7.0,1.0,1.0,1.0,5.0,1.0
18,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,comp_hr_lin_din,[1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,5.0,1.0,1.0,1.0,1.0,5.0,1.0
19,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,avg_hr_lin_dis,[1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],0.1639,0.20158,0.27829,0.13072,0.32753,0.23645,0.27464,5.0,1.0,1.0,1.0,1.0,5.0,1.0
20,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_edr,[1 1 0 0 0 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1],0.02416,-0.00575,0.03712,-0.00441,0.03955,0.03485,0.03705,18.0,17.0,18.0,17.0,18.0,18.0,18.0
21,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_edr,[0 4 1 1 1 3 0 2 1 3 1 4 2 2 3 3 4 4 1 2],0.13863,0.0076,0.13344,-0.00229,0.08903,0.2,0.12321,14.0,15.0,16.0,16.0,16.0,14.0,16.0
22,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral warp,[0 1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 0],0.02101,-0.00937,0.03076,-0.01109,0.03121,0.03031,0.03075,22.0,21.0,22.0,21.0,22.0,22.0,22.0
23,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,aff prop,[1 0 0 2 0 0 1 0 0 0 0 0 1 0 1 2 2 0 0 2],0.03453,-0.02938,0.04255,-0.02013,0.03634,0.04982,0.04203,18.0,22.0,19.0,22.0,21.0,18.0,19.0
24,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,pca,[1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 1 0 0 1],0.05067,0.0348,0.07564,0.04422,0.07826,0.0731,0.0756,16.0,15.0,16.0,14.0,16.0,16.0,16.0
25,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spectral overlap,[0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0],0.03243,0.00325,0.05506,0.00654,0.06481,0.04678,0.05434,19.0,18.0,18.0,17.0,18.0,19.0,18.0
26,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,km_choice,[0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,11.0,7.0,9.0,8.0,7.0,11.0,9.0
27,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,km_ent,[1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 0 1 1 0],0.10175,0.1109,0.15637,0.12115,0.16657,0.14679,0.15606,14.0,13.0,15.0,13.0,14.0,14.0,14.0
28,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,km_con,[0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.21576,0.28139,0.34559,0.21918,0.38369,0.31128,0.34371,11.0,7.0,9.0,8.0,7.0,11.0,9.0
29,"[0, 1, 2]","[1, 1, 1]",100.0,10.0,softmax,"[0.5, 0.5]","[0.1, 0.5]",,spect_cos_cat,[1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1],0.07488,0.05993,0.15775,0.02146,0.23035,0.10803,0.14708,15.0,14.0,14.0,16.0,12.0,15.0,15.0
