,mu,sigma,trials,cluster size,decision,alpha,tau,epsilon,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
0,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral warp,"[1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0
 0 1 1]","(0.031669999999999997, 2.0)","(0.027456327067072937, 2.0)","(0.045727822010203208, 2.0)","(0.03789224393132032, 2.0)","(0.045769127169248365, 2.0)","(0.045686554127730032, 2.0)","(0.045727803371924808, 2.0)",2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff prop,"[0 0 0 0 3 0 2 4 0 1 0 3 2 0 0 3 0 0 2 0 3 4 3 4 0 0 4 3 2 0 3 4 1 1 4 4 3
 4 0 1]","(0.14807999999999999, 8.0)","(0.06412886633432964, 8.0)","(0.14665737058241299, 7.0)","(0.10607675906183368, 7.0)","(0.1006789233878108, 7.0)","(0.21363343609960811, 8.0)","(0.13685993373740141, 7.0)",8.0,8.0,7.0,7.0,7.0,8.0,7.0
2,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,pca,"[1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0
 0 1 1]","(0.031669999999999997, 2.0)","(0.027456327067072937, 2.0)","(0.045727822010203208, 2.0)","(0.03789224393132032, 2.0)","(0.045769127169248365, 2.0)","(0.045686554127730032, 2.0)","(0.045727803371924808, 2.0)",2.0,2.0,2.0,2.0,2.0,2.0,2.0
3,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spectral overlap,"[0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0
 0 0 0]","(0.0067000000000000002, 1.0)","(-0.0096521206833620771, 1.0)","(0.010734453555907656, 1.0)","(-0.00941176470588232, 1.0)","(0.011917771610754583, 1.0)","(0.0096686274001052726, 1.0)","(0.01067602735277602, 1.0)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_choice,"[1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","(0.34200999999999998, 12.0)","(0.48368923070865893, 15.0)","(0.51054001007888572, 15.0)","(0.4778156996587031, 15.0)","(0.52825123707050559, 15.0)","(0.49342260576014452, 13.0)","(0.51024327131482328, 15.0)",12.0,15.0,15.0,15.0,15.0,13.0,15.0
5,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_ent,"[0 0 0 0 1 0 1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1
 1 0 0]","(0.045699999999999998, 4.0)","(0.048091104225281109, 5.0)","(0.065931944624509117, 4.0)","(0.06605263157894732, 4.0)","(0.065931944624509117, 4.0)","(0.065931944624509117, 4.0)","(0.065931944624509117, 4.0)",4.0,5.0,4.0,4.0,4.0,4.0,4.0
6,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,km_con,"[1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","(0.34200999999999998, 12.0)","(0.48368923070865893, 15.0)","(0.51054001007888572, 15.0)","(0.4778156996587031, 15.0)","(0.52825123707050559, 15.0)","(0.49342260576014452, 13.0)","(0.51024327131482328, 15.0)",12.0,15.0,15.0,15.0,15.0,13.0,15.0
7,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_cat,"[0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1]","(0.24410000000000001, 11.0)","(0.33959007986514433, 14.0)","(0.38229880955376094, 12.0)","(0.28793927099011846, 13.0)","(0.41501585921552875, 14.0)","(0.35216095130071157, 11.0)","(0.38101354937429743, 12.0)",11.0,14.0,12.0,13.0,14.0,11.0,12.0
8,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,aff_cos_cat,"[0 1 0 1 3 0 2 2 0 3 0 3 2 3 0 2 3 3 2 0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3]","(0.34200999999999998, 12.0)","(0.31224194248638576, 13.0)","(0.41188485045557738, 13.0)","(0.3241747380905317, 14.0)","(0.34382115463368279, 13.0)","(0.49342260576014446, 12.0)","(0.40525624211284145, 14.0)",12.0,13.0,13.0,14.0,13.0,12.0,14.0
9,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[0.5, 0.5]","[0.1, 0.3]",,spect_cos_ent,"[1 1 1 1 0 1 0 0 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0]","(0.1484, 9.0)","(0.19899458659740013, 11.0)","(0.22152216467438474, 10.0)","(0.23208191126279867, 12.0)","(0.22920702632042261, 10.0)","(0.21409496135351608, 9.0)","(0.22139341039056715, 10.0)",9.0,11.0,10.0,12.0,10.0,9.0,10.0
