,no_clust,algorithm,predictions
0,2.0,spectral warp,[0 1 0 0 0 0 0 0 0 1 0 0]
1,2.0,aff prop,[1 0 1 2 1 1 2 3 2 0 2 3]
2,2.0,pca,[0 1 0 0 0 0 0 0 0 1 0 0]
3,2.0,spectral overlap,[1 0 0 0 0 0 0 0 0 1 1 0]
4,2.0,km_choice,[1 0 0 0 0 0 1 1 1 1 0 1]
5,2.0,km_ent,[0 1 0 0 0 0 0 0 0 1 0 0]
6,2.0,km_con,[0 0 1 0 1 1 0 0 0 0 1 0]
7,2.0,spect_cos_cat,[0 1 0 1 1 0 1 0 0 0 1 1]
8,2.0,aff_cos_cat,[1 1 0 1 1 1 1 1 1 1 1 1]
9,2.0,spect_cos_ent,[0 1 0 0 0 0 0 0 0 1 0 0]
10,2.0,aff_cos_ent,[1 0 1 1 2 2 2 1 2 0 2 2]
11,2.0,spect_rbf,[0 1 0 0 0 0 0 0 0 1 0 0]
12,2.0,spect_esk_sim,[0 1 1 1 1 1 1 0 1 0 1 0]
13,2.0,aff_esk_sim,[1 0 0 0 2 2 2 1 0 1 2 1]
14,2.0,spect_lin_sim,[1 0 0 0 0 0 0 1 0 1 0 1]
15,2.0,aff_lin_sim,[1 0 0 0 2 2 0 1 2 1 2 1]
16,2.0,comp_hr_esk_dis,[1 0 0 0 0 0 0 1 0 1 0 1]
17,2.0,avg_hr_esk_dis,[1 0 0 0 0 0 0 1 0 1 0 1]
18,2.0,comp_hr_lin_din,[1 0 0 0 0 0 0 1 0 1 0 1]
19,2.0,avg_hr_lin_dis,[1 0 0 0 0 0 0 1 0 1 0 1]
20,2.0,spect_edr,[1 0 1 1 1 1 1 0 1 0 0 0]
21,2.0,aff_edr,[0 0 0 0 1 1 0 2 1 3 0 3]
22,3.0,spectral warp,[0 1 0 0 0 0 0 2 0 1 2 2]
23,3.0,aff prop,[1 0 1 2 1 1 2 3 2 0 2 3]
24,3.0,pca,[0 1 0 0 0 0 0 0 0 1 0 0]
25,3.0,spectral overlap,[2 0 1 2 0 0 1 1 1 0 2 1]
26,3.0,km_choice,[2 0 1 0 1 1 0 0 2 0 1 2]
27,3.0,km_ent,[2 1 2 2 0 2 0 2 0 1 0 0]
28,3.0,km_con,[2 0 2 0 1 1 0 0 2 0 1 2]
29,3.0,spect_cos_cat,[0 1 0 1 2 2 1 0 0 0 2 1]
30,3.0,aff_cos_cat,[1 1 0 1 1 1 1 1 1 1 1 1]
31,3.0,spect_cos_ent,[1 2 1 0 1 1 1 0 1 2 1 1]
32,3.0,aff_cos_ent,[1 0 1 1 2 2 2 1 2 0 2 2]
33,3.0,spect_rbf,[0 2 0 0 1 0 1 0 1 2 1 1]
34,3.0,spect_esk_sim,[1 2 0 2 0 0 2 1 0 1 0 1]
35,3.0,aff_esk_sim,[1 0 0 0 2 2 2 1 0 1 2 1]
36,3.0,spect_lin_sim,[0 2 1 1 1 1 2 0 1 0 2 0]
37,3.0,aff_lin_sim,[1 0 0 0 2 2 0 1 2 1 2 1]
38,3.0,comp_hr_esk_dis,[1 2 0 0 0 0 2 1 0 1 0 1]
39,3.0,avg_hr_esk_dis,[1 2 0 0 0 0 2 1 0 1 0 1]
40,3.0,comp_hr_lin_din,[1 2 0 0 0 0 2 1 0 1 0 1]
41,3.0,avg_hr_lin_dis,[1 2 0 0 0 0 2 1 0 1 0 1]
42,3.0,spect_edr,[0 2 0 0 0 0 0 1 0 1 2 1]
43,3.0,aff_edr,[0 0 0 0 1 1 0 2 1 3 0 3]
44,4.0,spectral warp,[1 0 1 2 1 1 2 3 2 0 2 3]
45,4.0,aff prop,[1 0 1 2 1 1 2 3 2 0 2 3]
46,4.0,pca,[0 1 0 0 0 0 0 0 0 1 0 0]
47,4.0,spectral overlap,[0 1 2 0 2 2 2 3 2 1 0 0]
48,4.0,km_choice,[1 2 3 2 0 0 2 1 1 1 0 1]
49,4.0,km_ent,[0 1 0 0 2 0 2 3 2 1 2 2]
50,4.0,km_con,[2 3 1 3 1 1 2 2 2 0 1 2]
51,4.0,spect_cos_cat,[0 2 0 1 3 3 2 1 0 1 3 2]
52,4.0,aff_cos_cat,[1 1 0 1 1 1 1 1 1 1 1 1]
53,4.0,spect_cos_ent,[0 2 0 3 0 1 0 3 0 2 0 0]
54,4.0,aff_cos_ent,[1 0 1 1 2 2 2 1 2 0 2 2]
55,4.0,spect_rbf,[0 2 0 0 1 0 1 3 1 2 1 1]
56,4.0,spect_esk_sim,[0 1 3 3 3 2 1 0 3 0 2 3]
57,4.0,aff_esk_sim,[1 0 0 0 2 2 2 1 0 1 2 1]
58,4.0,spect_lin_sim,[0 1 1 1 2 2 3 0 1 0 3 0]
59,4.0,aff_lin_sim,[1 0 0 0 2 2 0 1 2 1 2 1]
60,4.0,comp_hr_esk_dis,[0 2 1 3 3 1 2 0 1 0 1 0]
61,4.0,avg_hr_esk_dis,[3 2 0 1 1 0 2 3 0 3 0 3]
62,4.0,comp_hr_lin_din,[1 2 0 3 3 0 2 1 0 1 0 1]
63,4.0,avg_hr_lin_dis,[3 2 0 1 1 0 2 3 0 3 0 3]
64,4.0,spect_edr,[1 3 1 1 1 1 1 2 1 0 3 0]
65,4.0,aff_edr,[0 0 0 0 1 1 0 2 1 3 0 3]
66,5.0,spectral warp,[2 1 0 3 0 2 2 4 3 1 3 4]
67,5.0,aff prop,[1 0 1 2 1 1 2 3 2 0 2 3]
68,5.0,pca,[0 1 0 0 0 0 0 0 0 1 0 0]
69,5.0,spectral overlap,[3 1 0 3 1 0 0 4 3 1 2 2]
70,5.0,km_choice,[4 0 3 1 2 2 0 1 1 1 2 4]
71,5.0,km_ent,[1 0 1 1 3 4 3 2 3 0 3 3]
72,5.0,km_con,[2 0 1 1 3 3 0 1 1 4 3 2]
73,5.0,spect_cos_cat,[0 1 4 3 2 2 1 3 0 3 1 0]
74,5.0,aff_cos_cat,[1 1 0 1 1 1 1 1 1 1 1 1]
75,5.0,spect_cos_ent,[0 2 0 0 1 4 1 3 1 2 1 1]
76,5.0,aff_cos_ent,[1 0 1 1 2 2 2 1 2 0 2 2]
77,5.0,spect_rbf,[2 4 2 2 1 3 1 0 1 4 1 1]
78,5.0,spect_esk_sim,[3 1 3 2 2 0 1 4 3 4 0 2]
79,5.0,aff_esk_sim,[1 0 0 0 2 2 2 1 0 1 2 1]
80,5.0,spect_lin_sim,[4 1 1 1 2 3 0 4 2 4 0 2]
81,5.0,aff_lin_sim,[1 0 0 0 2 2 0 1 2 1 2 1]
82,5.0,comp_hr_esk_dis,[3 2 0 1 1 0 2 4 0 4 0 3]
83,5.0,avg_hr_esk_dis,[3 2 1 0 0 4 2 3 1 3 4 3]
84,5.0,comp_hr_lin_din,[0 2 1 3 3 4 2 0 1 0 4 0]
85,5.0,avg_hr_lin_dis,[3 2 0 1 1 4 2 3 0 3 4 3]
86,5.0,spect_edr,[1 0 1 4 1 1 1 2 1 3 0 3]
87,5.0,aff_edr,[0 0 0 0 1 1 0 2 1 3 0 3]
88,6.0,spectral warp,[2 4 0 5 0 0 1 3 1 4 1 3]
89,6.0,aff prop,[1 0 1 2 1 1 2 3 2 0 2 3]
90,6.0,pca,[0 1 0 0 0 0 0 0 0 1 0 0]
91,6.0,spectral overlap,[5 0 3 2 3 0 3 2 5 1 1 4]
92,6.0,km_choice,[1 5 4 3 0 0 5 2 2 2 0 1]
93,6.0,km_ent,[5 1 5 2 0 3 0 4 0 1 0 0]
94,6.0,km_con,[4 3 5 2 1 1 3 2 2 0 1 4]
95,6.0,spect_cos_cat,[2 5 4 1 3 0 5 1 2 1 2 2]
96,6.0,aff_cos_cat,[1 1 0 1 1 1 1 1 1 1 1 1]
97,6.0,spect_cos_ent,[5 1 2 4 0 3 0 4 0 1 0 0]
98,6.0,aff_cos_ent,[1 0 1 1 2 2 2 1 2 0 2 2]
99,6.0,spect_rbf,[5 0 4 4 2 3 2 1 2 0 2 2]
100,6.0,spect_esk_sim,[1 3 3 0 0 2 5 1 4 1 2 4]
101,6.0,aff_esk_sim,[1 0 0 0 2 2 2 1 0 1 2 1]
102,6.0,spect_lin_sim,[0 5 2 1 1 4 5 0 3 0 4 3]
103,6.0,aff_lin_sim,[1 0 0 0 2 2 0 1 2 1 2 1]
104,6.0,comp_hr_esk_dis,[1 2 3 0 0 5 2 4 3 4 5 1]
105,6.0,avg_hr_esk_dis,[3 0 1 5 2 4 0 3 1 3 4 3]
106,6.0,comp_hr_lin_din,[3 2 0 1 1 4 2 5 0 5 4 3]
107,6.0,avg_hr_lin_dis,[1 2 5 0 0 4 2 1 3 1 4 1]
108,6.0,spect_edr,[2 5 1 1 1 1 1 4 3 0 5 0]
109,6.0,aff_edr,[0 0 0 0 1 1 0 2 1 3 0 3]
110,7.0,spectral warp,[1 4 5 3 5 6 0 2 0 4 0 2]
111,7.0,aff prop,[1 0 1 2 1 1 2 3 2 0 2 3]
112,7.0,pca,[0 1 0 0 0 0 0 0 0 1 0 0]
113,7.0,spectral overlap,[2 4 1 3 6 4 2 3 5 0 0 1]
114,7.0,km_choice,[2 4 6 3 5 5 4 3 2 0 1 2]
115,7.0,km_ent,[0 1 5 6 2 4 2 3 2 1 2 2]
