,no_clust,algorithm,predictions,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas,mut inf scr1,adj mis1,norm mis1,adj rand s1,complet1,homogen1,vmeas1
16,2.0,comp_hr_esk_dis,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0
 0 0 0 0 1 1 0]",0.0860711947368,0.107259215665,0.173744914903,0.0426832225833,0.243103849054,0.12417448581,0.164383752534,15.0,2.0,4.0,5.0,2.0,15.0,3.0
17,2.0,avg_hr_esk_dis,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 1 1 0]",0.0675664408203,0.0791645173223,0.147037337567,0.0255665310866,0.221793941717,0.097477769102,0.135433099183,17.0,4.0,7.0,12.0,3.0,17.0,7.0
18,2.0,comp_hr_lin_din,"[1 1 1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 0 1
 0 0 1 1 0 0 1]",0.00417266794994,-0.0111541666123,0.00603793694034,-0.0151485343301,0.00605604064056,0.00601988735865,0.00603790988121,53.0,47.0,54.0,55.0,54.0,53.0,54.0
19,2.0,avg_hr_lin_dis,"[0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0
 1 1 1 0 0 0 0]",0.00115006514703,-0.0156871841213,0.00172450769463,-0.0192373754723,0.0017923932172,0.00165919328432,0.00172322309612,57.0,53.0,57.0,60.0,57.0,57.0,57.0
20,2.0,spect_edr,"[0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 1 1 1 0
 0 0 0 1 0 0 1]",0.00428045430447,-0.011019561725,0.00625078989432,-0.0145497443964,0.00632711019892,0.00617539019782,0.00625032962416,52.0,46.0,53.0,53.0,53.0,52.0,53.0
21,2.0,aff_edr,"[1 1 0 1 0 0 3 3 1 1 1 1 2 1 3 0 1 1 3 3 1 3 3 4 1 1 3 0 2 1 1 0 1 1 1 1 4
 2 3 1 1 0 2 1]",0.0566116624156,0.00179034909974,0.0591366539524,-0.0130945885621,0.0428186576714,0.0816733646235,0.0561826175881,19.0,31.0,20.0,48.0,25.0,19.0,23.0
22,2.0,spectral bad warp,"[0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 0
 1 1 1 1 0 0 1]",0.0166212200664,0.00712302454812,0.0239793517634,0.0100354191263,0.0239793517634,0.0239793517634,0.0239793517634,38.0,28.0,40.0,24.0,38.0,38.0,40.0
23,2.0,affinity bad warp,"[7 7 0 4 1 0 2 2 7 3 0 7 8 3 0 3 3 7 4 8 0 4 3 4 7 0 5 5 6 6 7 7 5 7 3 7 8
 3 0 3 3 2 2 7]",0.127667300144,0.00732155492963,0.108638975325,-0.00850127519128,0.0640792040063,0.184184980801,0.0950795779811,9.0,27.0,14.0,42.0,15.0,9.0,14.0
24,2.0,PCA bad euclid,"[0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1
 0 0 0 0 1 1 0]",0.0211420748239,0.0135156479179,0.0331744418994,0.0148815351478,0.0360815433936,0.0305015665026,0.033057740831,32.0,20.0,33.0,20.0,32.0,32.0,31.0
25,2.0,spectral bad eucsim,"[1 1 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 0 1 1
 0 0 0 0 1 1 0]",0.00103555715991,-0.0157525519397,0.00149510812404,-0.0216439569088,0.00149622390099,0.00149399317915,0.001495107708,60.0,56.0,60.0,64.0,60.0,60.0,60.0
26,2.0,affinity bad eucsim,"[ 7  7  1  1  0 10  9  9  3  2  2  3  8  3  1  2  2  3  1  8  3  1  2  1  7
  2  4  7  5  6  7  7 10  7  2  7  8 10  3 10  3  9  9 10]",0.162364553106,0.00913815919949,0.132730899514,0.0181271907862,0.0752104720948,0.234242535583,0.113862145455,7.0,22.0,11.0,17.0,13.0,7.0,11.0
27,2.0,spectral bad cosine,"[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0
 0 0 0 0 1 1 0]",0.0178613267441,0.00796019886259,0.032410442296,0.00622780129421,0.0407644569628,0.0257684475174,0.0315764591379,34.0,24.0,34.0,26.0,27.0,34.0,33.0
