,0,1,2,3,4,5,6,7,8,9
0,0.5,0.5,0.4,0.6,0.2,0.5,0.4,0.5,0.4,0.5
1,0.6,0.4,0.5,0.5,0.6,0.3,0.5,0.7,0.4,0.5
2,0.7,0.5,0.5,0.5,0.5,0.8,0.6,0.8,0.5,0.7
3,0.5,0.5,0.5,0.4,0.5,0.9,0.7,0.9,0.8,1.0
4,1.0,0.3,0.3,0.5,0.0,0.0,0.7,0.4,1.0,1.0
5,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.3
6,0.5,0.2,0.7,0.7,0.0,0.0,0.3,0.0,0.0,0.0
7,0.6,0.9,0.7,0.6,0.5,0.0,0.0,0.2,0.3,0.0
8,0.7,0.9,0.2,0.3,0.7,0.4,0.3,0.6,0.4,0.6
9,0.5,0.6,0.6,0.4,0.7,0.6,0.3,0.9,0.7,0.7
10,0.5,0.7,0.8,0.6,0.8,0.4,0.4,0.7,0.7,0.9
11,0.4,0.6,0.4,0.6,0.5,0.4,0.5,0.4,0.6,0.2
12,0.3,0.1,0.3,0.4,0.3,0.3,0.2,0.4,0.4,0.7
13,0.4,0.8,0.4,0.3,0.7,0.6,0.7,0.6,0.6,0.5
14,0.8,0.8,0.7,0.7,0.6,0.7,0.7,0.8,0.9,0.7
15,0.4,0.6,0.6,0.7,0.9,0.6,0.7,0.3,1.0,0.7
16,0.4,0.5,0.8,0.5,0.6,0.4,0.8,0.7,0.7,0.6
17,0.5,0.7,0.4,0.5,0.6,0.4,0.5,0.3,0.5,0.6
18,1.0,0.9,0.9,0.7,0.6,1.0,0.7,0.6,1.0,0.6
19,0.2,0.2,0.6,0.0,0.0,0.2,0.3,0.4,0.2,0.5
20,0.6,0.5,0.5,0.8,0.7,0.0,0.3,0.2,0.6,0.8
21,0.5,0.5,0.8,1.0,0.7,0.7,1.0,1.0,1.0,1.0
22,0.6,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.4,0.4
23,0.7,0.4,0.7,0.8,0.7,0.5,0.5,0.2,0.6,0.3
24,0.6,0.4,0.7,0.5,0.3,0.4,0.5,0.4,0.4,0.6
25,0.4,0.0,0.0,0.3,0.0,0.2,0.3,0.3,0.4,0.5
26,0.8,0.5,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.4
27,0.8,0.8,0.8,1.0,0.5,1.0,0.5,0.9,0.9,1.0
28,0.6,1.0,0.6,0.3,0.5,0.3,0.1,0.3,0.9,0.2
29,0.6,0.9,0.3,1.0,0.0,0.0,0.1,0.4,0.0,0.0
30,0.6,0.8,0.7,0.6,0.8,0.6,1.0,1.0,0.5,0.6
31,0.6,0.6,0.6,0.4,0.5,0.5,0.3,0.6,0.5,0.5
32,0.5,0.3,0.3,0.3,0.4,0.6,0.4,0.4,0.3,0.2
33,0.5,0.5,0.1,0.8,0.6,0.7,0.6,0.7,0.5,0.6
34,0.6,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
35,0.5,0.6,0.7,0.9,0.6,0.6,0.7,0.2,0.4,0.4
36,0.8,0.5,0.8,0.5,0.5,0.6,0.6,0.5,0.5,0.6
37,0.6,0.7,0.5,0.7,0.5,0.7,0.6,0.6,0.4,0.7
38,0.9,0.0,0.9,1.0,1.0,0.5,0.0,0.0,0.0,0.0
39,0.7,0.8,0.3,0.2,0.4,0.2,0.3,0.4,0.5,0.7
40,0.7,0.0,0.7,0.4,0.5,0.0,0.5,0.7,0.0,0.4
41,0.6,0.6,0.6,0.6,0.7,0.7,0.5,0.6,0.4,0.6
42,0.4,0.6,0.3,0.2,0.6,0.3,0.3,0.0,0.5,0.1
43,0.8,0.8,0.3,0.7,0.7,0.6,0.6,0.4,0.6,0.5
