,no_clust,algorithm,predictions
0,2.0,spectral warp,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0]
1,2.0,aff prop,[0 0 3 0 0 0 0 0 3 0 1 2 3 3 1 3 4 5 3 0]
2,2.0,pca,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
3,2.0,spectral overlap,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0]
4,2.0,km_choice,[0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1]
5,2.0,km_ent,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0]
6,2.0,km_con,[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1]
7,2.0,spect_cos_cat,[0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1]
8,2.0,aff_cos_cat,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
9,2.0,spect_cos_ent,[1 0 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 0 1]
10,2.0,aff_cos_ent,[0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 1 0]
11,2.0,spect_rbf,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0]
12,2.0,spect_esk_sim,[1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 1 0]
13,2.0,aff_esk_sim,[2 3 3 0 0 2 1 0 1 2 1 1 1 2 4 3 4 1 3 0]
14,2.0,spect_lin_sim,[0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0]
15,2.0,aff_lin_sim,[4 2 0 1 0 2 2 1 2 4 3 3 3 4 5 0 5 3 2 1]
16,2.0,comp_hr_esk_dis,[1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0]
17,2.0,avg_hr_esk_dis,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
18,2.0,comp_hr_lin_din,[1 0 0 0 0 1 1 0 1 1 1 1 1 1 0 0 0 1 0 0]
19,2.0,avg_hr_lin_dis,[0 0 0 0 0 1 1 0 1 1 1 1 1 0 0 0 0 1 0 0]
20,2.0,spect_edr,[0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0]
21,2.0,aff_edr,[ 0  1  3  7  2  2  3  3  1  4  5  6  7  7  8  1  9 10  0  1]
22,3.0,spectral warp,[0 0 1 0 0 0 0 0 1 0 1 2 1 1 1 1 2 2 1 0]
23,3.0,aff prop,[0 0 3 0 0 0 0 0 3 0 1 2 3 3 1 3 4 5 3 0]
24,3.0,pca,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
25,3.0,spectral overlap,[0 0 1 0 1 0 1 1 0 1 0 2 0 1 0 1 2 0 1 1]
26,3.0,km_choice,[1 0 2 2 2 2 2 2 0 1 1 1 1 1 2 2 1 1 2 2]
27,3.0,km_ent,[0 2 0 0 0 0 0 0 0 2 2 1 2 0 2 0 1 1 2 0]
28,3.0,km_con,[2 2 1 1 1 1 2 1 2 0 2 0 0 2 1 1 0 0 1 1]
29,3.0,spect_cos_cat,[0 0 2 1 1 1 0 2 0 1 0 0 0 0 2 2 0 0 1 2]
30,3.0,aff_cos_cat,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
31,3.0,spect_cos_ent,[1 2 2 1 1 1 1 1 1 2 1 0 2 1 2 1 0 1 2 1]
32,3.0,aff_cos_ent,[0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 1 0]
33,3.0,spect_rbf,[1 0 1 1 1 1 1 1 1 0 1 2 0 1 0 1 2 2 0 1]
34,3.0,spect_esk_sim,[2 1 1 1 1 0 0 2 0 0 1 0 0 0 2 1 2 0 2 1]
35,3.0,aff_esk_sim,[2 3 3 0 0 2 1 0 1 2 1 1 1 2 4 3 4 1 3 0]
36,3.0,spect_lin_sim,[1 2 2 2 2 1 1 2 1 1 0 0 0 1 1 2 1 0 1 2]
37,3.0,aff_lin_sim,[4 2 0 1 0 2 2 1 2 4 3 3 3 4 5 0 5 3 2 1]
38,3.0,comp_hr_esk_dis,[1 2 2 2 2 0 1 2 0 0 2 1 1 1 0 2 0 1 2 2]
39,3.0,avg_hr_esk_dis,[2 1 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 0 2 0]
40,3.0,comp_hr_lin_din,[0 1 2 2 2 0 0 1 0 0 0 0 0 0 1 1 1 0 1 2]
41,3.0,avg_hr_lin_dis,[1 1 2 2 2 0 0 2 0 0 0 0 0 1 1 1 1 0 1 2]
42,3.0,spect_edr,[0 0 0 0 0 0 0 0 0 0 2 1 0 0 2 0 1 1 0 0]
43,3.0,aff_edr,[ 0  1  3  7  2  2  3  3  1  4  5  6  7  7  8  1  9 10  0  1]
44,4.0,spectral warp,[0 1 3 0 0 0 3 0 1 0 1 2 3 3 3 3 2 2 1 0]
45,4.0,aff prop,[0 0 3 0 0 0 0 0 3 0 1 2 3 3 1 3 4 5 3 0]
46,4.0,pca,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
47,4.0,spectral overlap,[3 0 2 3 0 3 0 0 2 0 3 1 3 2 3 2 1 3 0 2]
48,4.0,km_choice,[3 2 1 2 2 3 2 1 2 0 2 0 0 3 3 3 3 0 3 2]
49,4.0,km_ent,[1 0 1 1 1 1 1 1 1 0 0 3 0 1 0 1 2 3 0 1]
50,4.0,km_con,[1 1 2 1 0 2 0 0 0 1 0 3 1 1 3 2 3 3 2 2]
51,4.0,spect_cos_cat,[3 3 2 0 0 0 1 2 3 0 1 1 1 1 2 2 1 1 0 2]
52,4.0,aff_cos_cat,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
53,4.0,spect_cos_ent,[0 1 0 0 0 0 0 0 0 1 3 2 1 0 3 0 2 0 1 0]
54,4.0,aff_cos_ent,[0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 1 0]
55,4.0,spect_rbf,[0 2 0 0 0 0 0 0 3 2 3 1 2 0 2 0 1 1 3 0]
56,4.0,spect_esk_sim,[3 2 2 2 2 3 0 2 0 3 2 1 3 3 0 2 0 1 0 2]
57,4.0,aff_esk_sim,[2 3 3 0 0 2 1 0 1 2 1 1 1 2 4 3 4 1 3 0]
58,4.0,spect_lin_sim,[1 2 2 2 2 1 0 2 0 1 2 3 1 1 0 2 0 3 0 2]
59,4.0,aff_lin_sim,[4 2 0 1 0 2 2 1 2 4 3 3 3 4 5 0 5 3 2 1]
60,4.0,comp_hr_esk_dis,[1 0 0 0 0 2 1 0 2 2 0 1 1 1 3 0 3 1 0 0]
61,4.0,avg_hr_esk_dis,[0 3 2 1 2 2 2 1 2 2 2 2 2 0 0 0 0 2 0 1]
62,4.0,comp_hr_lin_din,[3 1 2 2 2 0 3 1 0 0 3 0 0 3 1 1 1 0 1 2]
63,4.0,avg_hr_lin_dis,[0 0 2 2 2 3 1 2 3 3 1 1 1 0 0 0 0 1 0 2]
64,4.0,spect_edr,[0 0 0 0 0 0 0 0 0 0 1 3 0 0 1 0 2 2 0 0]
65,4.0,aff_edr,[ 0  1  3  7  2  2  3  3  1  4  5  6  7  7  8  1  9 10  0  1]
